Time                             R       Lat       Lon
2022-01-12/00:58:00          11.05     1.753     286.7
2022-01-12/00:58:10          11.05     1.757     286.8
2022-01-12/00:58:20          11.04     1.761     286.9
2022-01-12/00:58:30          11.04     1.765     287.1
2022-01-12/00:58:40          11.04     1.769     287.2
2022-01-12/00:58:50          11.04     1.773     287.3
2022-01-12/00:59:00          11.04     1.776     287.4
2022-01-12/00:59:10          11.03     1.780     287.5
2022-01-12/00:59:20          11.03     1.784     287.6
2022-01-12/00:59:30          11.03     1.788     287.7
2022-01-12/00:59:40          11.03     1.792     287.8
2022-01-12/00:59:50          11.02     1.796     287.9
2022-01-12/01:00:00          11.02     1.800     288.0
2022-01-12/01:00:10          11.02     1.804     288.1
2022-01-12/01:00:20          11.02     1.808     288.2
2022-01-12/01:00:30          11.01     1.812     288.3
2022-01-12/01:00:40          11.01     1.816     288.4
2022-01-12/01:00:50          11.01     1.819     288.5
2022-01-12/01:01:00          11.01     1.823     288.6
2022-01-12/01:01:10          11.01     1.827     288.7
2022-01-12/01:01:20          11.00     1.831     288.8
2022-01-12/01:01:30          11.00     1.835     288.9
2022-01-12/01:01:40          11.00     1.839     289.0
2022-01-12/01:01:50          11.00     1.843     289.1
2022-01-12/01:02:00          10.99     1.847     289.2
2022-01-12/01:02:10          10.99     1.851     289.3
2022-01-12/01:02:20          10.99     1.855     289.4
2022-01-12/01:02:30          10.99     1.859     289.5
2022-01-12/01:02:40          10.99     1.863     289.6
2022-01-12/01:02:50          10.98     1.867     289.7
2022-01-12/01:03:00          10.98     1.871     289.8
2022-01-12/01:03:10          10.98     1.874     289.9
2022-01-12/01:03:20          10.98     1.878     290.0
2022-01-12/01:03:30          10.97     1.882     290.1
2022-01-12/01:03:40          10.97     1.886     290.2
2022-01-12/01:03:50          10.97     1.890     290.3
2022-01-12/01:04:00          10.97     1.894     290.4
2022-01-12/01:04:10          10.97     1.898     290.5
2022-01-12/01:04:20          10.96     1.902     290.6
2022-01-12/01:04:30          10.96     1.906     290.7
2022-01-12/01:04:40          10.96     1.910     290.8
2022-01-12/01:04:50          10.96     1.914     290.9
2022-01-12/01:05:00          10.95     1.918     291.0
2022-01-12/01:05:10          10.95     1.922     291.1
2022-01-12/01:05:20          10.95     1.926     291.2
2022-01-12/01:05:30          10.95     1.930     291.3
2022-01-12/01:05:40          10.95     1.934     291.4
2022-01-12/01:05:50          10.94     1.938     291.5
2022-01-12/01:06:00          10.94     1.942     291.6
2022-01-12/01:06:10          10.94     1.946     291.7
2022-01-12/01:06:20          10.94     1.950     291.8
