Time                           Lat
2022-01-12/06:11:00         -74.33
2022-01-12/06:12:00         -74.29
2022-01-12/06:13:00         -74.25
2022-01-12/06:14:00         -74.21
2022-01-12/06:15:00         -74.17
2022-01-12/06:16:00         -74.12
2022-01-12/06:17:00         -74.08
2022-01-12/06:18:00         -74.04
2022-01-12/06:19:00         -73.99
2022-01-12/06:20:00         -73.95
2022-01-12/06:21:00         -73.91
2022-01-12/06:22:00         -73.86
2022-01-12/06:23:00         -73.82
2022-01-12/06:24:00         -73.77
2022-01-12/06:25:00         -73.73
2022-01-12/06:26:00         -73.68
2022-01-12/06:27:00         -73.64
2022-01-12/06:28:00         -73.59
2022-01-12/06:29:00         -73.55
2022-01-12/06:30:00         -73.50
2022-01-12/06:31:00         -73.45
2022-01-12/06:32:00         -73.40
2022-01-12/06:33:00         -73.36
2022-01-12/06:34:00         -73.31
2022-01-12/06:35:00         -73.26
2022-01-12/06:36:00         -73.21
2022-01-12/06:37:00         -73.16
2022-01-12/06:38:00         -73.11
2022-01-12/06:39:00         -73.06
2022-01-12/06:40:00         -73.01
2022-01-12/06:41:00         -72.96
2022-01-12/06:42:00         -72.91
2022-01-12/06:43:00         -72.86
2022-01-12/06:44:00         -72.81
2022-01-12/06:45:00         -72.75
2022-01-12/06:46:00         -72.70
2022-01-12/06:47:00         -72.65
2022-01-12/06:48:00         -72.59
2022-01-12/06:49:00         -72.54
2022-01-12/06:50:00         -72.48
2022-01-12/06:51:00         -72.43
2022-01-12/06:52:00         -72.37
2022-01-12/06:53:00         -72.32
2022-01-12/06:54:00         -72.26
2022-01-12/06:55:00         -72.21
2022-01-12/06:56:00         -72.15
2022-01-12/06:57:00         -72.09
2022-01-12/06:58:00         -72.04
2022-01-12/06:59:00         -71.98
2022-01-12/07:00:00         -71.92
2022-01-12/07:01:00         -71.86
2022-01-12/07:02:00         -71.80
2022-01-12/07:03:00         -71.75
2022-01-12/07:04:00         -71.69
2022-01-12/07:05:00         -71.63
2022-01-12/07:06:00         -71.57
2022-01-12/07:07:00         -71.51
2022-01-12/07:08:00         -71.45
2022-01-12/07:09:00         -71.39
2022-01-12/07:10:00         -71.33
2022-01-12/07:11:00         -71.27
2022-01-12/07:12:00         -71.21
2022-01-12/07:13:00         -71.15
2022-01-12/07:14:00         -71.09
2022-01-12/07:15:00         -71.03
2022-01-12/07:16:00         -70.97
2022-01-12/07:17:00         -70.91
2022-01-12/07:18:00         -70.85
2022-01-12/07:19:00         -70.79
2022-01-12/07:20:00         -70.73
2022-01-12/07:21:00         -70.67
2022-01-12/07:22:00         -70.61
2022-01-12/07:23:00         -70.55
2022-01-12/07:24:00         -70.48
2022-01-12/07:25:00         -70.42
2022-01-12/07:26:00         -70.36
2022-01-12/07:27:00         -70.30
2022-01-12/07:28:00         -70.24
2022-01-12/07:29:00         -70.18
2022-01-12/07:30:00         -70.12
2022-01-12/07:31:00         -70.06
2022-01-12/07:32:00         -70.00
2022-01-12/07:33:00         -69.95
2022-01-12/07:34:00         -69.89
2022-01-12/07:35:00         -69.83
2022-01-12/07:36:00         -69.77
2022-01-12/07:37:00         -69.71
2022-01-12/07:38:00         -69.65
2022-01-12/07:39:00         -69.59
2022-01-12/07:40:00         -69.53
2022-01-12/07:41:00         -69.48
2022-01-12/07:42:00         -69.42
2022-01-12/07:43:00         -69.36
2022-01-12/07:44:00         -69.30
2022-01-12/07:45:00         -69.25
2022-01-12/07:46:00         -69.19
2022-01-12/07:47:00         -69.13
2022-01-12/07:48:00         -69.08
2022-01-12/07:49:00         -69.02
2022-01-12/07:50:00         -68.96
2022-01-12/07:51:00         -68.91
2022-01-12/07:52:00         -68.85
2022-01-12/07:53:00         -68.80
2022-01-12/07:54:00         -68.74
2022-01-12/07:55:00         -68.69
2022-01-12/07:56:00         -68.63
2022-01-12/07:57:00         -68.58
