Time                           Lat
2022-01-12/07:51:00         -75.28
2022-01-12/07:52:00         -75.21
2022-01-12/07:53:00         -75.15
2022-01-12/07:54:00         -75.08
2022-01-12/07:55:00         -75.01
2022-01-12/07:56:00         -74.95
2022-01-12/07:57:00         -74.88
2022-01-12/07:58:00         -74.82
2022-01-12/07:59:00         -74.75
2022-01-12/08:00:00         -74.68
2022-01-12/08:01:00         -74.62
2022-01-12/08:02:00         -74.55
2022-01-12/08:03:00         -74.49
2022-01-12/08:04:00         -74.42
2022-01-12/08:05:00         -74.35
2022-01-12/08:06:00         -74.29
2022-01-12/08:07:00         -74.22
2022-01-12/08:08:00         -74.16
2022-01-12/08:09:00         -74.09
2022-01-12/08:10:00         -74.02
2022-01-12/08:11:00         -73.96
2022-01-12/08:12:00         -73.89
2022-01-12/08:13:00         -73.83
2022-01-12/08:14:00         -73.76
2022-01-12/08:15:00         -73.70
2022-01-12/08:16:00         -73.63
2022-01-12/08:17:00         -73.57
2022-01-12/08:18:00         -73.51
2022-01-12/08:19:00         -73.44
2022-01-12/08:20:00         -73.38
2022-01-12/08:21:00         -73.31
2022-01-12/08:22:00         -73.25
2022-01-12/08:23:00         -73.19
2022-01-12/08:24:00         -73.12
2022-01-12/08:25:00         -73.06
2022-01-12/08:26:00         -73.00
2022-01-12/08:27:00         -72.94
2022-01-12/08:28:00         -72.88
2022-01-12/08:29:00         -72.81
2022-01-12/08:30:00         -72.75
2022-01-12/08:31:00         -72.69
2022-01-12/08:32:00         -72.63
2022-01-12/08:33:00         -72.57
2022-01-12/08:34:00         -72.51
2022-01-12/08:35:00         -72.45
2022-01-12/08:36:00         -72.39
2022-01-12/08:37:00         -72.33
2022-01-12/08:38:00         -72.27
2022-01-12/08:39:00         -72.21
2022-01-12/08:40:00         -72.15
2022-01-12/08:41:00         -72.09
2022-01-12/08:42:00         -72.03
2022-01-12/08:43:00         -71.98
2022-01-12/08:44:00         -71.92
2022-01-12/08:45:00         -71.86
2022-01-12/08:46:00         -71.80
2022-01-12/08:47:00         -71.75
2022-01-12/08:48:00         -71.69
2022-01-12/08:49:00         -71.63
2022-01-12/08:50:00         -71.58
2022-01-12/08:51:00         -71.52
2022-01-12/08:52:00         -71.46
2022-01-12/08:53:00         -71.41
2022-01-12/08:54:00         -71.35
2022-01-12/08:55:00         -71.30
2022-01-12/08:56:00         -71.24
2022-01-12/08:57:00         -71.19
2022-01-12/08:58:00         -71.14
2022-01-12/08:59:00         -71.08
2022-01-12/09:00:00         -71.03
2022-01-12/09:01:00         -70.98
2022-01-12/09:02:00         -70.92
2022-01-12/09:03:00         -70.87
2022-01-12/09:04:00         -70.82
2022-01-12/09:05:00         -70.76
2022-01-12/09:06:00         -70.71
2022-01-12/09:07:00         -70.66
2022-01-12/09:08:00         -70.61
2022-01-12/09:09:00         -70.56
2022-01-12/09:10:00         -70.51
2022-01-12/09:11:00         -70.46
2022-01-12/09:12:00         -70.41
2022-01-12/09:13:00         -70.35
2022-01-12/09:14:00         -70.30
2022-01-12/09:15:00         -70.25
2022-01-12/09:16:00         -70.20
2022-01-12/09:17:00         -70.15
2022-01-12/09:18:00         -70.11
2022-01-12/09:19:00         -70.06
2022-01-12/09:20:00         -70.01
2022-01-12/09:21:00         -69.96
2022-01-12/09:22:00         -69.91
2022-01-12/09:23:00         -69.86
2022-01-12/09:24:00         -69.81
2022-01-12/09:25:00         -69.77
2022-01-12/09:26:00         -69.72
2022-01-12/09:27:00         -69.67
2022-01-12/09:28:00         -69.62
2022-01-12/09:29:00         -69.58
2022-01-12/09:30:00         -69.53
2022-01-12/09:31:00         -69.48
2022-01-12/09:32:00         -69.44
2022-01-12/09:33:00         -69.39
2022-01-12/09:34:00         -69.34
2022-01-12/09:35:00         -69.30
2022-01-12/09:36:00         -69.25
2022-01-12/09:37:00         -69.21
2022-01-12/09:38:00         -69.16
2022-01-12/09:39:00         -69.12
2022-01-12/09:40:00         -69.07
2022-01-12/09:41:00         -69.03
2022-01-12/09:42:00         -68.98
2022-01-12/09:43:00         -68.94
2022-01-12/09:44:00         -68.89
2022-01-12/09:45:00         -68.85
2022-01-12/09:46:00         -68.81
2022-01-12/09:47:00         -68.76
2022-01-12/09:48:00         -68.72
2022-01-12/09:49:00         -68.68
2022-01-12/09:50:00         -68.63
2022-01-12/09:51:00         -68.59
2022-01-12/09:52:00         -68.55
2022-01-12/09:53:00         -68.51
2022-01-12/09:54:00         -68.46
2022-01-12/09:55:00         -68.42
2022-01-12/09:56:00         -68.38
2022-01-12/09:57:00         -68.34
2022-01-12/09:58:00         -68.30
2022-01-12/09:59:00         -68.26
2022-01-12/10:00:00         -68.21
2022-01-12/10:01:00         -68.17
2022-01-12/10:02:00         -68.13
2022-01-12/10:03:00         -68.09
2022-01-12/10:04:00         -68.05
2022-01-12/10:05:00         -68.01
2022-01-12/10:06:00         -67.97
2022-01-12/10:07:00         -67.93
2022-01-12/10:08:00         -67.89
2022-01-12/10:09:00         -67.85
2022-01-12/10:10:00         -67.82
2022-01-12/10:11:00         -67.78
2022-01-12/10:12:00         -67.74
2022-01-12/10:13:00         -67.70
2022-01-12/10:14:00         -67.66
2022-01-12/10:15:00         -67.62
2022-01-12/10:16:00         -67.59
2022-01-12/10:17:00         -67.55
2022-01-12/10:18:00         -67.51
2022-01-12/10:19:00         -67.47
2022-01-12/10:20:00         -67.44
2022-01-12/10:21:00         -67.40
2022-01-12/10:22:00         -67.36
2022-01-12/10:23:00         -67.33
2022-01-12/10:24:00         -67.29
2022-01-12/10:25:00         -67.25
2022-01-12/10:26:00         -67.22
2022-01-12/10:27:00         -67.18
2022-01-12/10:28:00         -67.15
2022-01-12/10:29:00         -67.11
2022-01-12/10:30:00         -67.08
2022-01-12/10:31:00         -67.04
2022-01-12/10:32:00         -67.01
2022-01-12/10:33:00         -66.97
2022-01-12/10:34:00         -66.94
2022-01-12/10:35:00         -66.91
2022-01-12/10:36:00         -66.87
2022-01-12/10:37:00         -66.84
2022-01-12/10:38:00         -66.80
2022-01-12/10:39:00         -66.77
2022-01-12/10:40:00         -66.74
2022-01-12/10:41:00         -66.71
2022-01-12/10:42:00         -66.67
2022-01-12/10:43:00         -66.64
2022-01-12/10:44:00         -66.61
2022-01-12/10:45:00         -66.58
2022-01-12/10:46:00         -66.54
2022-01-12/10:47:00         -66.51
2022-01-12/10:48:00         -66.48
2022-01-12/10:49:00         -66.45
2022-01-12/10:50:00         -66.42
2022-01-12/10:51:00         -66.39
2022-01-12/10:52:00         -66.36
2022-01-12/10:53:00         -66.33
2022-01-12/10:54:00         -66.30
2022-01-12/10:55:00         -66.27
2022-01-12/10:56:00         -66.24
2022-01-12/10:57:00         -66.21
2022-01-12/10:58:00         -66.18
2022-01-12/10:59:00         -66.15
2022-01-12/11:00:00         -66.12
2022-01-12/11:01:00         -66.09
2022-01-12/11:02:00         -66.06
2022-01-12/11:03:00         -66.03
2022-01-12/11:04:00         -66.00
2022-01-12/11:05:00         -65.97
2022-01-12/11:06:00         -65.95
2022-01-12/11:07:00         -65.92
2022-01-12/11:08:00         -65.89
2022-01-12/11:09:00         -65.86
2022-01-12/11:10:00         -65.83
2022-01-12/11:11:00         -65.81
2022-01-12/11:12:00         -65.78
2022-01-12/11:13:00         -65.75
2022-01-12/11:14:00         -65.73
2022-01-12/11:15:00         -65.70
2022-01-12/11:16:00         -65.67
2022-01-12/11:17:00         -65.65
2022-01-12/11:18:00         -65.62
2022-01-12/11:19:00         -65.59
2022-01-12/11:20:00         -65.57
2022-01-12/11:21:00         -65.54
2022-01-12/11:22:00         -65.52
2022-01-12/11:23:00         -65.49
2022-01-12/11:24:00         -65.46
2022-01-12/11:25:00         -65.44
2022-01-12/11:26:00         -65.41
2022-01-12/11:27:00         -65.39
2022-01-12/11:28:00         -65.36
2022-01-12/11:29:00         -65.34
2022-01-12/11:30:00         -65.31
2022-01-12/11:31:00         -65.28
2022-01-12/11:32:00         -65.26
2022-01-12/11:33:00         -65.23
2022-01-12/11:34:00         -65.21
2022-01-12/11:35:00         -65.18
2022-01-12/11:36:00         -65.16
2022-01-12/11:37:00         -65.13
2022-01-12/11:38:00         -65.11
2022-01-12/11:39:00         -65.08
2022-01-12/11:40:00         -65.06
2022-01-12/11:41:00         -65.03
2022-01-12/11:42:00         -65.00
2022-01-12/11:43:00         -64.98
2022-01-12/11:44:00         -64.95
2022-01-12/11:45:00         -64.93
2022-01-12/11:46:00         -64.90
2022-01-12/11:47:00         -64.87
2022-01-12/11:48:00         -64.85
2022-01-12/11:49:00         -64.82
2022-01-12/11:50:00         -64.80
