Time                           Lon
2022-01-12/10:13:00          346.4
2022-01-12/10:14:00          346.9
2022-01-12/10:15:00          347.3
2022-01-12/10:16:00          347.8
2022-01-12/10:17:00          348.2
2022-01-12/10:18:00          348.6
2022-01-12/10:19:00          349.1
2022-01-12/10:20:00          349.5
2022-01-12/10:21:00          350.0
2022-01-12/10:22:00          350.4
2022-01-12/10:23:00          350.8
2022-01-12/10:24:00          351.3
2022-01-12/10:25:00          351.7
2022-01-12/10:26:00          352.2
2022-01-12/10:27:00          352.6
2022-01-12/10:28:00          353.0
2022-01-12/10:29:00          353.5
2022-01-12/10:30:00          353.9
2022-01-12/10:31:00          354.4
2022-01-12/10:32:00          354.8
2022-01-12/10:33:00          355.2
2022-01-12/10:34:00          355.7
2022-01-12/10:35:00          356.1
2022-01-12/10:36:00          356.6
2022-01-12/10:37:00          357.0
2022-01-12/10:38:00          357.4
2022-01-12/10:39:00          357.9
2022-01-12/10:40:00          358.3
2022-01-12/10:41:00          358.8
2022-01-12/10:42:00          359.2
2022-01-12/10:43:00          359.6
2022-01-12/10:44:00        0.07946
2022-01-12/10:45:00         0.5212
2022-01-12/10:46:00         0.9631
2022-01-12/10:47:00          1.405
2022-01-12/10:48:00          1.847
2022-01-12/10:49:00          2.290
2022-01-12/10:50:00          2.733
2022-01-12/10:51:00          3.176
2022-01-12/10:52:00          3.619
2022-01-12/10:53:00          4.062
2022-01-12/10:54:00          4.506
2022-01-12/10:55:00          4.950
2022-01-12/10:56:00          5.394
2022-01-12/10:57:00          5.839
2022-01-12/10:58:00          6.283
2022-01-12/10:59:00          6.728
2022-01-12/11:00:00          7.174
2022-01-12/11:01:00          7.620
2022-01-12/11:02:00          8.066
2022-01-12/11:03:00          8.512
2022-01-12/11:04:00          8.959
2022-01-12/11:05:00          9.406
2022-01-12/11:06:00          9.854
2022-01-12/11:07:00          10.30
2022-01-12/11:08:00          10.75
2022-01-12/11:09:00          11.20
2022-01-12/11:10:00          11.65
2022-01-12/11:11:00          12.10
2022-01-12/11:12:00          12.55
2022-01-12/11:13:00          13.00
2022-01-12/11:14:00          13.45
2022-01-12/11:15:00          13.90
2022-01-12/11:16:00          14.35
2022-01-12/11:17:00          14.80
2022-01-12/11:18:00          15.26
2022-01-12/11:19:00          15.71
2022-01-12/11:20:00          16.16
2022-01-12/11:21:00          16.62
2022-01-12/11:22:00          17.07
2022-01-12/11:23:00          17.53
2022-01-12/11:24:00          17.98
2022-01-12/11:25:00          18.44
2022-01-12/11:26:00          18.90
2022-01-12/11:27:00          19.35
2022-01-12/11:28:00          19.81
2022-01-12/11:29:00          20.27
2022-01-12/11:30:00          20.73
2022-01-12/11:31:00          21.19
2022-01-12/11:32:00          21.65
2022-01-12/11:33:00          22.11
2022-01-12/11:34:00          22.57
2022-01-12/11:35:00          23.03
2022-01-12/11:36:00          23.49
2022-01-12/11:37:00          23.95
2022-01-12/11:38:00          24.41
2022-01-12/11:39:00          24.88
2022-01-12/11:40:00          25.34
2022-01-12/11:41:00          25.80
2022-01-12/11:42:00          26.27
2022-01-12/11:43:00          26.73
2022-01-12/11:44:00          27.20
2022-01-12/11:45:00          27.66
2022-01-12/11:46:00          28.13
2022-01-12/11:47:00          28.59
2022-01-12/11:48:00          29.06
2022-01-12/11:49:00          29.52
2022-01-12/11:50:00          29.99
2022-01-12/11:51:00          30.45
2022-01-12/11:52:00          30.92
2022-01-12/11:53:00          31.38
2022-01-12/11:54:00          31.84
2022-01-12/11:55:00          32.31
2022-01-12/11:56:00          32.77
2022-01-12/11:57:00          33.24
2022-01-12/11:58:00          33.70
2022-01-12/11:59:00          34.16
2022-01-12/12:00:00          34.62
2022-01-12/12:01:00          35.08
2022-01-12/12:02:00          35.54
2022-01-12/12:03:00          36.00
2022-01-12/12:04:00          36.46
2022-01-12/12:05:00          36.92
2022-01-12/12:06:00          37.37
2022-01-12/12:07:00          37.83
2022-01-12/12:08:00          38.28
2022-01-12/12:09:00          38.73
2022-01-12/12:10:00          39.19
2022-01-12/12:11:00          39.63
2022-01-12/12:12:00          40.08
2022-01-12/12:13:00          40.53
2022-01-12/12:14:00          40.97
2022-01-12/12:15:00          41.42
2022-01-12/12:16:00          41.86
2022-01-12/12:17:00          42.30
2022-01-12/12:18:00          42.73
2022-01-12/12:19:00          43.17
2022-01-12/12:20:00          43.60
2022-01-12/12:21:00          44.04
2022-01-12/12:22:00          44.47
2022-01-12/12:23:00          44.89
2022-01-12/12:24:00          45.32
2022-01-12/12:25:00          45.74
2022-01-12/12:26:00          46.16
2022-01-12/12:27:00          46.58
2022-01-12/12:28:00          47.00
2022-01-12/12:29:00          47.41
2022-01-12/12:30:00          47.82
2022-01-12/12:31:00          48.24
2022-01-12/12:32:00          48.64
2022-01-12/12:33:00          49.05
2022-01-12/12:34:00          49.45
2022-01-12/12:35:00          49.85
2022-01-12/12:36:00          50.25
2022-01-12/12:37:00          50.65
2022-01-12/12:38:00          51.04
2022-01-12/12:39:00          51.44
2022-01-12/12:40:00          51.83
2022-01-12/12:41:00          52.21
2022-01-12/12:42:00          52.60
2022-01-12/12:43:00          52.98
2022-01-12/12:44:00          53.37
2022-01-12/12:45:00          53.75
2022-01-12/12:46:00          54.13
2022-01-12/12:47:00          54.50
2022-01-12/12:48:00          54.88
2022-01-12/12:49:00          55.25
2022-01-12/12:50:00          55.62
2022-01-12/12:51:00          55.99
2022-01-12/12:52:00          56.36
2022-01-12/12:53:00          56.72
2022-01-12/12:54:00          57.08
2022-01-12/12:55:00          57.45
2022-01-12/12:56:00          57.81
2022-01-12/12:57:00          58.17
2022-01-12/12:58:00          58.52
2022-01-12/12:59:00          58.88
2022-01-12/13:00:00          59.23
2022-01-12/13:01:00          59.59
2022-01-12/13:02:00          59.94
2022-01-12/13:03:00          60.29
2022-01-12/13:04:00          60.64
2022-01-12/13:05:00          60.99
2022-01-12/13:06:00          61.34
2022-01-12/13:07:00          61.68
2022-01-12/13:08:00          62.03
2022-01-12/13:09:00          62.37
2022-01-12/13:10:00          62.71
2022-01-12/13:11:00          63.06
2022-01-12/13:12:00          63.40
2022-01-12/13:13:00          63.74
2022-01-12/13:14:00          64.08
2022-01-12/13:15:00          64.42
2022-01-12/13:16:00          64.75
2022-01-12/13:17:00          65.09
2022-01-12/13:18:00          65.43
2022-01-12/13:19:00          65.76
2022-01-12/13:20:00          66.10
2022-01-12/13:21:00          66.43
2022-01-12/13:22:00          66.77
2022-01-12/13:23:00          67.10
2022-01-12/13:24:00          67.44
2022-01-12/13:25:00          67.77
2022-01-12/13:26:00          68.10
2022-01-12/13:27:00          68.43
2022-01-12/13:28:00          68.77
2022-01-12/13:29:00          69.10
2022-01-12/13:30:00          69.43
2022-01-12/13:31:00          69.76
2022-01-12/13:32:00          70.09
2022-01-12/13:33:00          70.42
2022-01-12/13:34:00          70.76
2022-01-12/13:35:00          71.09
2022-01-12/13:36:00          71.42
2022-01-12/13:37:00          71.75
2022-01-12/13:38:00          72.08
2022-01-12/13:39:00          72.41
2022-01-12/13:40:00          72.74
2022-01-12/13:41:00          73.07
2022-01-12/13:42:00          73.40
