Time                           Lon
2022-01-12/10:01:00          50.22
2022-01-12/10:02:00          50.62
2022-01-12/10:03:00          51.02
2022-01-12/10:04:00          51.41
2022-01-12/10:05:00          51.81
2022-01-12/10:06:00          52.20
2022-01-12/10:07:00          52.59
2022-01-12/10:08:00          52.98
2022-01-12/10:09:00          53.37
2022-01-12/10:10:00          53.75
2022-01-12/10:11:00          54.14
2022-01-12/10:12:00          54.52
2022-01-12/10:13:00          54.90
2022-01-12/10:14:00          55.28
2022-01-12/10:15:00          55.65
2022-01-12/10:16:00          56.03
2022-01-12/10:17:00          56.40
2022-01-12/10:18:00          56.77
2022-01-12/10:19:00          57.14
2022-01-12/10:20:00          57.51
2022-01-12/10:21:00          57.87
2022-01-12/10:22:00          58.24
2022-01-12/10:23:00          58.60
2022-01-12/10:24:00          58.97
2022-01-12/10:25:00          59.33
2022-01-12/10:26:00          59.69
2022-01-12/10:27:00          60.04
2022-01-12/10:28:00          60.40
2022-01-12/10:29:00          60.76
2022-01-12/10:30:00          61.11
2022-01-12/10:31:00          61.47
2022-01-12/10:32:00          61.82
2022-01-12/10:33:00          62.17
2022-01-12/10:34:00          62.52
2022-01-12/10:35:00          62.87
2022-01-12/10:36:00          63.22
2022-01-12/10:37:00          63.57
2022-01-12/10:38:00          63.92
2022-01-12/10:39:00          64.26
2022-01-12/10:40:00          64.61
2022-01-12/10:41:00          64.95
2022-01-12/10:42:00          65.30
2022-01-12/10:43:00          65.64
2022-01-12/10:44:00          65.99
2022-01-12/10:45:00          66.33
2022-01-12/10:46:00          66.67
2022-01-12/10:47:00          67.01
2022-01-12/10:48:00          67.35
2022-01-12/10:49:00          67.70
2022-01-12/10:50:00          68.04
2022-01-12/10:51:00          68.38
2022-01-12/10:52:00          68.72
2022-01-12/10:53:00          69.06
2022-01-12/10:54:00          69.40
2022-01-12/10:55:00          69.74
2022-01-12/10:56:00          70.08
2022-01-12/10:57:00          70.42
2022-01-12/10:58:00          70.75
2022-01-12/10:59:00          71.09
2022-01-12/11:00:00          71.43
2022-01-12/11:01:00          71.77
2022-01-12/11:02:00          72.11
2022-01-12/11:03:00          72.45
2022-01-12/11:04:00          72.79
2022-01-12/11:05:00          73.13
2022-01-12/11:06:00          73.47
2022-01-12/11:07:00          73.81
2022-01-12/11:08:00          74.15
2022-01-12/11:09:00          74.49
2022-01-12/11:10:00          74.83
2022-01-12/11:11:00          75.18
2022-01-12/11:12:00          75.52
2022-01-12/11:13:00          75.86
2022-01-12/11:14:00          76.20
2022-01-12/11:15:00          76.55
2022-01-12/11:16:00          76.89
2022-01-12/11:17:00          77.23
2022-01-12/11:18:00          77.58
2022-01-12/11:19:00          77.92
2022-01-12/11:20:00          78.27
2022-01-12/11:21:00          78.62
2022-01-12/11:22:00          78.96
2022-01-12/11:23:00          79.31
2022-01-12/11:24:00          79.66
2022-01-12/11:25:00          80.01
2022-01-12/11:26:00          80.36
2022-01-12/11:27:00          80.71
2022-01-12/11:28:00          81.06
2022-01-12/11:29:00          81.42
2022-01-12/11:30:00          81.77
2022-01-12/11:31:00          82.12
2022-01-12/11:32:00          82.48
2022-01-12/11:33:00          82.84
2022-01-12/11:34:00          83.19
2022-01-12/11:35:00          83.55
2022-01-12/11:36:00          83.91
2022-01-12/11:37:00          84.27
2022-01-12/11:38:00          84.63
2022-01-12/11:39:00          85.00
2022-01-12/11:40:00          85.36
2022-01-12/11:41:00          85.73
2022-01-12/11:42:00          86.10
2022-01-12/11:43:00          86.46
2022-01-12/11:44:00          86.83
2022-01-12/11:45:00          87.20
2022-01-12/11:46:00          87.58
2022-01-12/11:47:00          87.95
2022-01-12/11:48:00          88.33
2022-01-12/11:49:00          88.71
2022-01-12/11:50:00          89.08
2022-01-12/11:51:00          89.47
2022-01-12/11:52:00          89.85
2022-01-12/11:53:00          90.23
2022-01-12/11:54:00          90.62
2022-01-12/11:55:00          91.01
2022-01-12/11:56:00          91.40
2022-01-12/11:57:00          91.79
2022-01-12/11:58:00          92.18
2022-01-12/11:59:00          92.58
2022-01-12/12:00:00          92.98
2022-01-12/12:01:00          93.38
2022-01-12/12:02:00          93.78
2022-01-12/12:03:00          94.19
2022-01-12/12:04:00          94.60
2022-01-12/12:05:00          95.01
2022-01-12/12:06:00          95.42
2022-01-12/12:07:00          95.84
2022-01-12/12:08:00          96.25
2022-01-12/12:09:00          96.67
2022-01-12/12:10:00          97.10
2022-01-12/12:11:00          97.52
2022-01-12/12:12:00          97.95
2022-01-12/12:13:00          98.38
2022-01-12/12:14:00          98.82
2022-01-12/12:15:00          99.26
2022-01-12/12:16:00          99.70
2022-01-12/12:17:00          100.1
2022-01-12/12:18:00          100.6
2022-01-12/12:19:00          101.0
2022-01-12/12:20:00          101.5
2022-01-12/12:21:00          101.9
2022-01-12/12:22:00          102.4
2022-01-12/12:23:00          102.9
2022-01-12/12:24:00          103.3
2022-01-12/12:25:00          103.8
2022-01-12/12:26:00          104.3
2022-01-12/12:27:00          104.7
2022-01-12/12:28:00          105.2
2022-01-12/12:29:00          105.7
2022-01-12/12:30:00          106.2
2022-01-12/12:31:00          106.7
2022-01-12/12:32:00          107.2
2022-01-12/12:33:00          107.7
2022-01-12/12:34:00          108.2
2022-01-12/12:35:00          108.7
2022-01-12/12:36:00          109.2
2022-01-12/12:37:00          109.7
2022-01-12/12:38:00          110.2
2022-01-12/12:39:00          110.7
2022-01-12/12:40:00          111.2
2022-01-12/12:41:00          111.8
2022-01-12/12:42:00          112.3
2022-01-12/12:43:00          112.8
2022-01-12/12:44:00          113.4
2022-01-12/12:45:00          113.9
2022-01-12/12:46:00          114.5
2022-01-12/12:47:00          115.0
2022-01-12/12:48:00          115.6
2022-01-12/12:49:00          116.1
2022-01-12/12:50:00          116.7
2022-01-12/12:51:00          117.2
2022-01-12/12:52:00          117.8
2022-01-12/12:53:00          118.4
2022-01-12/12:54:00          119.0
2022-01-12/12:55:00          119.5
2022-01-12/12:56:00          120.1
2022-01-12/12:57:00          120.7
2022-01-12/12:58:00          121.3
2022-01-12/12:59:00          121.9
2022-01-12/13:00:00          122.5
2022-01-12/13:01:00          123.1
2022-01-12/13:02:00          123.7
2022-01-12/13:03:00          124.3
2022-01-12/13:04:00          125.0
2022-01-12/13:05:00          125.6
2022-01-12/13:06:00          126.2
2022-01-12/13:07:00          126.9
2022-01-12/13:08:00          127.5
2022-01-12/13:09:00          128.2
2022-01-12/13:10:00          128.8
2022-01-12/13:11:00          129.5
2022-01-12/13:12:00          130.1
2022-01-12/13:13:00          130.8
2022-01-12/13:14:00          131.5
2022-01-12/13:15:00          132.2
2022-01-12/13:16:00          132.9
2022-01-12/13:17:00          133.6
2022-01-12/13:18:00          134.3
2022-01-12/13:19:00          135.0
2022-01-12/13:20:00          135.7
2022-01-12/13:21:00          136.5
2022-01-12/13:22:00          137.2
2022-01-12/13:23:00          138.0
2022-01-12/13:24:00          138.7
2022-01-12/13:25:00          139.5
2022-01-12/13:26:00          140.3
2022-01-12/13:27:00          141.1
2022-01-12/13:28:00          141.9
2022-01-12/13:29:00          142.7
2022-01-12/13:30:00          143.5
2022-01-12/13:31:00          144.4
2022-01-12/13:32:00          145.2
2022-01-12/13:33:00          146.1
2022-01-12/13:34:00          146.9
2022-01-12/13:35:00          147.8
2022-01-12/13:36:00          148.7
2022-01-12/13:37:00          149.6
2022-01-12/13:38:00          150.6
2022-01-12/13:39:00          151.5
2022-01-12/13:40:00          152.5
2022-01-12/13:41:00          153.4
2022-01-12/13:42:00          154.4
2022-01-12/13:43:00          155.4
2022-01-12/13:44:00          156.5
2022-01-12/13:45:00          157.5
