Time                           Lat
2022-01-12/12:41:00         -75.72
2022-01-12/12:42:00         -75.82
2022-01-12/12:43:00         -75.93
2022-01-12/12:44:00         -76.03
2022-01-12/12:45:00         -76.14
2022-01-12/12:46:00         -76.24
2022-01-12/12:47:00         -76.34
2022-01-12/12:48:00         -76.44
2022-01-12/12:49:00         -76.55
2022-01-12/12:50:00         -76.65
2022-01-12/12:51:00         -76.75
2022-01-12/12:52:00         -76.85
2022-01-12/12:53:00         -76.95
2022-01-12/12:54:00         -77.05
2022-01-12/12:55:00         -77.15
2022-01-12/12:56:00         -77.26
2022-01-12/12:57:00         -77.36
2022-01-12/12:58:00         -77.46
2022-01-12/12:59:00         -77.55
