Time	R	Lat	Lon
2022-01-12/00:10:33	1.006	-76.476	282.53
2022-01-12/00:10:34	1.006	-76.47466666666666	282.54
2022-01-12/00:10:35	1.006	-76.47333333333333	282.55
2022-01-12/00:10:36	1.006	-76.472	282.56
2022-01-12/00:10:37	1.006	-76.47066666666666	282.57
2022-01-12/00:10:38	1.006	-76.46933333333332	282.58
2022-01-12/00:10:39	1.006	-76.468	282.59000000000003
2022-01-12/00:10:40	1.006	-76.46666666666667	282.6
2022-01-12/00:10:41	1.006	-76.46533333333333	282.61
2022-01-12/00:10:42	1.006	-76.464	282.62
2022-01-12/00:10:43	1.006	-76.46266666666666	282.63
2022-01-12/00:10:44	1.006	-76.46133333333333	282.64
2022-01-12/00:10:45	1.006	-76.46	282.65
2022-01-12/00:10:46	1.006	-76.45866666666666	282.66
2022-01-12/00:10:47	1.006	-76.45733333333332	282.67
2022-01-12/00:10:48	1.006	-76.456	282.68
2022-01-12/00:10:49	1.006	-76.45466666666667	282.69
2022-01-12/00:10:50	1.006	-76.45333333333333	282.7
2022-01-12/00:10:51	1.006	-76.452	282.71000000000004
2022-01-12/00:10:52	1.006	-76.45066666666666	282.72
2022-01-12/00:10:53	1.006	-76.44933333333333	282.73
2022-01-12/00:10:54	1.006	-76.448	282.74
2022-01-12/00:10:55	1.006	-76.44666666666666	282.75
2022-01-12/00:10:56	1.006	-76.44533333333334	282.76
2022-01-12/00:10:57	1.006	-76.444	282.77
2022-01-12/00:10:58	1.006	-76.44266666666667	282.78000000000003
2022-01-12/00:10:59	1.006	-76.44133333333333	282.79
2022-01-12/00:11:00	1.006	-76.44	282.8
2022-01-12/00:11:01	1.006	-76.43866666666666	282.81
2022-01-12/00:11:02	1.006	-76.43733333333333	282.82
2022-01-12/00:11:03	1.006	-76.43599999999999	282.83
2022-01-12/00:11:04	1.006	-76.43466666666666	282.84000000000003
2022-01-12/00:11:05	1.006	-76.43333333333334	282.85
2022-01-12/00:11:06	1.006	-76.432	282.86
2022-01-12/00:11:07	1.006	-76.43066666666667	282.87
2022-01-12/00:11:08	1.006	-76.42933333333333	282.88
2022-01-12/00:11:09	1.006	-76.428	282.89
2022-01-12/00:11:10	1.006	-76.42666666666666	282.9
2022-01-12/00:11:11	1.006	-76.42533333333333	282.91
2022-01-12/00:11:12	1.006	-76.42399999999999	282.92
2022-01-12/00:11:13	1.006	-76.42266666666667	282.93
2022-01-12/00:11:14	1.006	-76.42133333333334	282.94
2022-01-12/00:11:15	1.006	-76.42	282.95
2022-01-12/00:11:16	1.006	-76.41866666666667	282.96
2022-01-12/00:11:17	1.006	-76.41733333333333	282.97
2022-01-12/00:11:18	1.006	-76.416	282.98
2022-01-12/00:11:19	1.006	-76.41466666666666	282.99
