                    time         Energy    pitch_angle            Daa
2022-01-12/04:02:45      2.595e-05     87.00     0.000
2022-01-12/04:02:45      2.595e-05     88.00     0.000
2022-01-12/04:02:45      2.595e-05     89.00     0.000
2022-01-12/04:02:45      2.595e-05     89.50     0.000
2022-01-12/04:02:45      3.000e-05     2.000 4.515e-08
2022-01-12/04:02:45      3.000e-05     5.000 4.592e-08
2022-01-12/04:02:45      3.000e-05     8.000 4.690e-08
2022-01-12/04:02:45      3.000e-05     11.00 4.857e-08
2022-01-12/04:02:45      3.000e-05     14.00 5.010e-08
2022-01-12/04:02:45      3.000e-05     17.00 5.193e-08
2022-01-12/04:02:45      3.000e-05     20.00 5.383e-08
2022-01-12/04:02:45      3.000e-05     23.00 5.565e-08
2022-01-12/04:02:45      3.000e-05     26.00 5.799e-08
2022-01-12/04:02:45      3.000e-05     29.00 6.076e-08
2022-01-12/04:02:45      3.000e-05     32.00 6.266e-08
2022-01-12/04:02:45      3.000e-05     35.00 6.433e-08
2022-01-12/04:02:45      3.000e-05     38.00 4.372e-08
2022-01-12/04:02:45      3.000e-05     41.00 1.127e-08
2022-01-12/04:02:45      3.000e-05     44.00 1.346e-09
2022-01-12/04:02:45      3.000e-05     47.00 4.044e-10
2022-01-12/04:02:45      3.000e-05     50.00 2.499e-11
2022-01-12/04:02:45      3.000e-05     52.00 4.261e-14
2022-01-12/04:02:45      3.000e-05     54.00     0.000
2022-01-12/04:02:45      3.000e-05     56.00     0.000
2022-01-12/04:02:45      3.000e-05     58.00     0.000
2022-01-12/04:02:45      3.000e-05     60.00     0.000
2022-01-12/04:02:45      3.000e-05     62.00     0.000
2022-01-12/04:02:45      3.000e-05     64.00     0.000
2022-01-12/04:02:45      3.000e-05     66.00     0.000
2022-01-12/04:02:45      3.000e-05     68.00     0.000
2022-01-12/04:02:45      3.000e-05     70.00     0.000
2022-01-12/04:02:45      3.000e-05     72.00     0.000
2022-01-12/04:02:45      3.000e-05     74.00     0.000
2022-01-12/04:02:45      3.000e-05     76.00     0.000
2022-01-12/04:02:45      3.000e-05     78.00     0.000
2022-01-12/04:02:45      3.000e-05     80.00     0.000
2022-01-12/04:02:45      3.000e-05     82.00     0.000
2022-01-12/04:02:45      3.000e-05     84.00     0.000
2022-01-12/04:02:45      3.000e-05     85.00     0.000
2022-01-12/04:02:45      3.000e-05     86.00     0.000
2022-01-12/04:02:45      3.000e-05     87.00     0.000
2022-01-12/04:02:45      3.000e-05     88.00     0.000
2022-01-12/04:02:45      3.000e-05     89.00     0.000
2022-01-12/04:02:45      3.000e-05     89.50     0.000
2022-01-12/04:02:45      3.617e-05     2.000 3.919e-08
2022-01-12/04:02:45      3.617e-05     5.000 4.006e-08
2022-01-12/04:02:45      3.617e-05     8.000 4.119e-08
2022-01-12/04:02:45      3.617e-05     11.00 4.251e-08
2022-01-12/04:02:45      3.617e-05     14.00 4.421e-08
2022-01-12/04:02:45      3.617e-05     17.00 4.592e-08
2022-01-12/04:02:45      3.617e-05     20.00 4.760e-08
2022-01-12/04:02:45      3.617e-05     23.00 4.914e-08
2022-01-12/04:02:45      3.617e-05     26.00 5.024e-08
2022-01-12/04:02:45      3.617e-05     29.00 5.134e-08
2022-01-12/04:02:45      3.617e-05     32.00 5.273e-08
2022-01-12/04:02:45      3.617e-05     35.00 5.436e-08
2022-01-12/04:02:45      3.617e-05     38.00 5.655e-08
2022-01-12/04:02:45      3.617e-05     41.00 5.847e-08
2022-01-12/04:02:45      3.617e-05     44.00 4.047e-08
2022-01-12/04:02:45      3.617e-05     47.00 5.132e-09
2022-01-12/04:02:45      3.617e-05     50.00 9.091e-11
2022-01-12/04:02:45      3.617e-05     52.00 2.031e-11
2022-01-12/04:02:45      3.617e-05     54.00 6.968e-11
2022-01-12/04:02:45      3.617e-05     56.00 2.407e-11
2022-01-12/04:02:45      3.617e-05     58.00     0.000
2022-01-12/04:02:45      3.617e-05     60.00     0.000
2022-01-12/04:02:45      3.617e-05     62.00     0.000
2022-01-12/04:02:45      3.617e-05     64.00     0.000
2022-01-12/04:02:45      3.617e-05     66.00     0.000
2022-01-12/04:02:45      3.617e-05     68.00     0.000
2022-01-12/04:02:45      3.617e-05     70.00     0.000
2022-01-12/04:02:45      3.617e-05     72.00     0.000
2022-01-12/04:02:45      3.617e-05     74.00     0.000
2022-01-12/04:02:45      3.617e-05     76.00     0.000
2022-01-12/04:02:45      3.617e-05     78.00     0.000
2022-01-12/04:02:45      3.617e-05     80.00     0.000
2022-01-12/04:02:45      3.617e-05     82.00     0.000
2022-01-12/04:02:45      3.617e-05     84.00     0.000
2022-01-12/04:02:45      3.617e-05     85.00     0.000
2022-01-12/04:02:45      3.617e-05     86.00     0.000
2022-01-12/04:02:45      3.617e-05     87.00     0.000
2022-01-12/04:02:45      3.617e-05     88.00     0.000
2022-01-12/04:02:45      3.617e-05     89.00     0.000
2022-01-12/04:02:45      3.617e-05     89.50     0.000
2022-01-12/04:02:45      4.270e-05     2.000 3.501e-08
2022-01-12/04:02:45      4.270e-05     5.000 3.585e-08
2022-01-12/04:02:45      4.270e-05     8.000 3.713e-08
2022-01-12/04:02:45      4.270e-05     11.00 3.853e-08
2022-01-12/04:02:45      4.270e-05     14.00 4.024e-08
2022-01-12/04:02:45      4.270e-05     17.00 4.197e-08
2022-01-12/04:02:45      4.270e-05     20.00 4.354e-08
