Time                           Lon
2022-01-12/09:56:00          345.5
2022-01-12/09:57:00          345.9
2022-01-12/09:58:00          346.3
2022-01-12/09:59:00          346.7
2022-01-12/10:00:00          347.1
2022-01-12/10:01:00          347.5
2022-01-12/10:02:00          347.9
2022-01-12/10:03:00          348.3
2022-01-12/10:04:00          348.8
2022-01-12/10:05:00          349.2
2022-01-12/10:06:00          349.6
2022-01-12/10:07:00          350.0
2022-01-12/10:08:00          350.4
2022-01-12/10:09:00          350.8
2022-01-12/10:10:00          351.2
2022-01-12/10:11:00          351.6
2022-01-12/10:12:00          352.0
2022-01-12/10:13:00          352.4
2022-01-12/10:14:00          352.8
2022-01-12/10:15:00          353.2
2022-01-12/10:16:00          353.6
2022-01-12/10:17:00          354.0
2022-01-12/10:18:00          354.4
2022-01-12/10:19:00          354.8
2022-01-12/10:20:00          355.2
2022-01-12/10:21:00          355.6
2022-01-12/10:22:00          356.0
2022-01-12/10:23:00          356.4
2022-01-12/10:24:00          356.8
2022-01-12/10:25:00          357.2
2022-01-12/10:26:00          357.6
2022-01-12/10:27:00          358.0
2022-01-12/10:28:00          358.4
2022-01-12/10:29:00          358.8
2022-01-12/10:30:00          359.2
2022-01-12/10:31:00          359.6
2022-01-12/10:32:00        0.03656
2022-01-12/10:33:00         0.4421
2022-01-12/10:34:00         0.8479
2022-01-12/10:35:00          1.254
2022-01-12/10:36:00          1.660
2022-01-12/10:37:00          2.066
2022-01-12/10:38:00          2.473
2022-01-12/10:39:00          2.880
2022-01-12/10:40:00          3.287
2022-01-12/10:41:00          3.694
2022-01-12/10:42:00          4.102
2022-01-12/10:43:00          4.510
2022-01-12/10:44:00          4.918
2022-01-12/10:45:00          5.326
2022-01-12/10:46:00          5.735
2022-01-12/10:47:00          6.144
2022-01-12/10:48:00          6.553
2022-01-12/10:49:00          6.962
2022-01-12/10:50:00          7.372
2022-01-12/10:51:00          7.782
2022-01-12/10:52:00          8.192
2022-01-12/10:53:00          8.603
2022-01-12/10:54:00          9.014
2022-01-12/10:55:00          9.425
2022-01-12/10:56:00          9.837
2022-01-12/10:57:00          10.25
2022-01-12/10:58:00          10.66
2022-01-12/10:59:00          11.07
2022-01-12/11:00:00          11.49
2022-01-12/11:01:00          11.90
2022-01-12/11:02:00          12.31
2022-01-12/11:03:00          12.73
2022-01-12/11:04:00          13.14
2022-01-12/11:05:00          13.56
2022-01-12/11:06:00          13.97
2022-01-12/11:07:00          14.39
2022-01-12/11:08:00          14.80
2022-01-12/11:09:00          15.22
2022-01-12/11:10:00          15.64
2022-01-12/11:11:00          16.05
2022-01-12/11:12:00          16.47
2022-01-12/11:13:00          16.89
2022-01-12/11:14:00          17.31
2022-01-12/11:15:00          17.73
2022-01-12/11:16:00          18.15
2022-01-12/11:17:00          18.57
2022-01-12/11:18:00          18.99
2022-01-12/11:19:00          19.41
2022-01-12/11:20:00          19.83
2022-01-12/11:21:00          20.25
2022-01-12/11:22:00          20.67
2022-01-12/11:23:00          21.10
2022-01-12/11:24:00          21.52
2022-01-12/11:25:00          21.94
2022-01-12/11:26:00          22.37
2022-01-12/11:27:00          22.79
2022-01-12/11:28:00          23.22
2022-01-12/11:29:00          23.64
2022-01-12/11:30:00          24.07
2022-01-12/11:31:00          24.49
2022-01-12/11:32:00          24.92
2022-01-12/11:33:00          25.35
2022-01-12/11:34:00          25.77
2022-01-12/11:35:00          26.20
2022-01-12/11:36:00          26.63
2022-01-12/11:37:00          27.06
2022-01-12/11:38:00          27.49
2022-01-12/11:39:00          27.92
2022-01-12/11:40:00          28.34
2022-01-12/11:41:00          28.77
2022-01-12/11:42:00          29.20
2022-01-12/11:43:00          29.63
2022-01-12/11:44:00          30.06
2022-01-12/11:45:00          30.49
2022-01-12/11:46:00          30.92
2022-01-12/11:47:00          31.35
2022-01-12/11:48:00          31.78
2022-01-12/11:49:00          32.21
2022-01-12/11:50:00          32.64
2022-01-12/11:51:00          33.06
2022-01-12/11:52:00          33.49
2022-01-12/11:53:00          33.92
2022-01-12/11:54:00          34.35
2022-01-12/11:55:00          34.78
2022-01-12/11:56:00          35.20
2022-01-12/11:57:00          35.63
2022-01-12/11:58:00          36.05
2022-01-12/11:59:00          36.48
2022-01-12/12:00:00          36.90
2022-01-12/12:01:00          37.32
2022-01-12/12:02:00          37.74
2022-01-12/12:03:00          38.16
2022-01-12/12:04:00          38.58
2022-01-12/12:05:00          39.00
2022-01-12/12:06:00          39.42
2022-01-12/12:07:00          39.84
2022-01-12/12:08:00          40.25
2022-01-12/12:09:00          40.66
2022-01-12/12:10:00          41.08
2022-01-12/12:11:00          41.49
2022-01-12/12:12:00          41.89
2022-01-12/12:13:00          42.30
2022-01-12/12:14:00          42.71
2022-01-12/12:15:00          43.11
2022-01-12/12:16:00          43.51
2022-01-12/12:17:00          43.91
2022-01-12/12:18:00          44.31
2022-01-12/12:19:00          44.71
2022-01-12/12:20:00          45.10
2022-01-12/12:21:00          45.50
2022-01-12/12:22:00          45.89
2022-01-12/12:23:00          46.28
2022-01-12/12:24:00          46.67
2022-01-12/12:25:00          47.05
2022-01-12/12:26:00          47.44
2022-01-12/12:27:00          47.82
2022-01-12/12:28:00          48.20
2022-01-12/12:29:00          48.57
2022-01-12/12:30:00          48.95
2022-01-12/12:31:00          49.32
2022-01-12/12:32:00          49.70
2022-01-12/12:33:00          50.07
2022-01-12/12:34:00          50.43
2022-01-12/12:35:00          50.80
2022-01-12/12:36:00          51.16
2022-01-12/12:37:00          51.53
