Time                          Flux_prec
2022-01-12/04:02:15          0.000
2022-01-12/04:02:45          346.4
2022-01-12/04:03:15          431.3
2022-01-12/04:03:45          270.2
2022-01-12/04:04:15          279.2
2022-01-12/04:04:45          368.8
2022-01-12/04:05:15          268.8
2022-01-12/04:05:45          241.4
2022-01-12/04:06:15          243.1
2022-01-12/04:06:45          117.1
2022-01-12/04:07:15          78.38
2022-01-12/04:07:45          170.8
2022-01-12/04:08:15          142.9
2022-01-12/04:08:45          209.6
2022-01-12/04:09:15          118.1
2022-01-12/04:09:45          160.8
2022-01-12/04:10:15          124.0
2022-01-12/04:10:45          110.9
2022-01-12/04:11:15          90.51
2022-01-12/04:11:45          18.10
2022-01-12/04:12:15          0.000
2022-01-12/04:12:45          0.000
2022-01-12/04:13:15          0.000
2022-01-12/04:13:45          0.000
2022-01-12/04:14:15          0.000
2022-01-12/04:14:45          0.000
2022-01-12/04:15:15          0.000
2022-01-12/04:15:45          0.000
2022-01-12/04:16:15          0.000
2022-01-12/04:16:45          0.000
2022-01-12/04:17:15          0.000
2022-01-12/04:17:45          0.000
2022-01-12/04:18:15          0.000
2022-01-12/04:18:45          0.000
2022-01-12/04:19:15          0.000
2022-01-12/04:19:45          0.000
2022-01-12/04:20:15          0.000
2022-01-12/04:20:45          0.000
2022-01-12/04:21:15          0.000
2022-01-12/04:21:45          0.000
2022-01-12/04:22:15          0.000
2022-01-12/04:22:45          109.0
2022-01-12/04:23:15          30.59
2022-01-12/04:23:45          141.4
2022-01-12/04:24:15          67.20
2022-01-12/04:24:45          95.89
2022-01-12/04:25:15          82.17
2022-01-12/04:25:45          180.4
2022-01-12/04:26:15          116.2
2022-01-12/04:26:45          35.33
2022-01-12/04:27:15          0.000
2022-01-12/04:27:45          0.000
2022-01-12/04:28:15          0.000
2022-01-12/04:28:45          0.000
2022-01-12/04:29:15          0.000
2022-01-12/04:29:45          0.000
2022-01-12/04:30:15          0.000
2022-01-12/04:30:45          30.05
2022-01-12/04:31:15          24.05
2022-01-12/04:31:45          25.30
2022-01-12/04:32:15          82.05
2022-01-12/04:32:45          32.63
2022-01-12/04:33:15          53.15
2022-01-12/04:33:45          122.6
2022-01-12/04:34:15          49.23
2022-01-12/04:34:45          41.82
2022-01-12/04:35:15          39.93
2022-01-12/04:35:45          44.90
2022-01-12/04:36:15          20.01
2022-01-12/04:36:45          43.19
2022-01-12/04:37:15          34.14
2022-01-12/04:37:45          47.92
2022-01-12/04:38:15          34.93
2022-01-12/04:38:45          52.13
2022-01-12/04:39:15          43.60
2022-01-12/04:39:45          63.09
2022-01-12/04:40:15          75.84
2022-01-12/04:40:45          48.99
2022-01-12/04:41:15          55.77
2022-01-12/04:41:45          47.10
2022-01-12/04:42:15          45.89
2022-01-12/04:42:45          71.56
2022-01-12/04:43:15          31.91
2022-01-12/04:43:45          51.09
2022-01-12/04:44:15          33.53
2022-01-12/04:44:45          77.92
2022-01-12/04:45:15          29.40
2022-01-12/04:45:45          36.85
2022-01-12/04:46:15          78.38
2022-01-12/04:46:45          59.25
2022-01-12/04:47:15          36.68
2022-01-12/04:47:45          48.39
2022-01-12/04:48:15          39.54
2022-01-12/04:48:45          46.13
2022-01-12/04:49:15          69.42
2022-01-12/04:49:45          73.34
2022-01-12/04:50:15          18.76
2022-01-12/04:50:45          57.06
2022-01-12/04:51:15          50.08
2022-01-12/04:51:45          40.22
2022-01-12/04:52:15          47.95
2022-01-12/04:52:45          25.50
2022-01-12/04:53:15          18.83
2022-01-12/04:53:45          50.14
2022-01-12/04:54:15          68.11
2022-01-12/04:54:45          58.88
2022-01-12/04:55:15          80.67
2022-01-12/04:55:45          14.90
2022-01-12/04:56:15          25.09
2022-01-12/04:56:45          27.66
2022-01-12/04:57:15          19.96
2022-01-12/04:57:45          29.05
2022-01-12/04:58:15          25.46
2022-01-12/04:58:45          28.20
2022-01-12/04:59:15          14.32
2022-01-12/04:59:45          20.64
2022-01-12/05:00:15          20.23
2022-01-12/05:00:45          12.94
2022-01-12/05:01:15          57.37
2022-01-12/05:01:45          17.98
2022-01-12/05:02:15          41.22
2022-01-12/05:02:45          28.49
2022-01-12/05:03:15          32.01
2022-01-12/05:03:45          72.36
2022-01-12/05:04:15          26.80
2022-01-12/05:04:45          69.88
2022-01-12/05:05:15          31.43
2022-01-12/05:05:45          7.134
2022-01-12/05:06:15          36.58
2022-01-12/05:06:45          15.96
2022-01-12/05:07:15          6.681
2022-01-12/05:07:45          13.48
2022-01-12/05:08:15          19.17
2022-01-12/05:08:45          6.948
2022-01-12/05:09:15          20.40
2022-01-12/05:09:45          11.93
2022-01-12/05:10:15          9.355
2022-01-12/05:10:45          21.78
2022-01-12/05:11:15          60.70
2022-01-12/05:11:45          10.91
2022-01-12/05:12:15          72.58
2022-01-12/05:12:45          55.86
2022-01-12/05:13:15          13.82
2022-01-12/05:13:45          60.76
2022-01-12/05:14:15          7.211
2022-01-12/05:14:45          48.39
2022-01-12/05:15:15          66.68
2022-01-12/05:15:45          21.94
2022-01-12/05:16:15          14.38
2022-01-12/05:16:45          17.63
2022-01-12/05:17:15          6.614
2022-01-12/05:17:45          36.96
2022-01-12/05:18:15          20.78
2022-01-12/05:18:45          92.59
2022-01-12/05:19:15          66.22
2022-01-12/05:19:45          28.48
2022-01-12/05:20:15          20.57
2022-01-12/05:20:45          51.50
2022-01-12/05:21:15          7.319
2022-01-12/05:21:45          13.82
2022-01-12/05:22:15          8.051
2022-01-12/05:22:45          43.77
2022-01-12/05:23:15          7.459
2022-01-12/05:23:45          8.872
2022-01-12/05:24:15          10.28
2022-01-12/05:24:45          58.05
2022-01-12/05:25:15          6.867
2022-01-12/05:25:45          55.33
2022-01-12/05:26:15          70.17
2022-01-12/05:26:45          27.28
2022-01-12/05:27:15          26.14
