Time                       energy      ratio
2022-01-12/00:49:15          56.30     0.000
2022-01-12/00:49:15          67.84     0.000
2022-01-12/00:49:15          81.77     0.000
2022-01-12/00:49:15          98.36     0.000
2022-01-12/00:49:15          118.6     0.000
2022-01-12/00:49:15          142.9     0.000
2022-01-12/00:49:15          171.8     0.000
2022-01-12/00:49:15          206.7     0.000
2022-01-12/00:49:15          247.6     0.000
2022-01-12/00:49:15          295.9     0.000
2022-01-12/00:49:15          353.2     0.000
2022-01-12/00:49:15          421.5     0.000
2022-01-12/00:49:15          504.2     0.000
2022-01-12/00:49:15          605.4     0.000
2022-01-12/00:49:15          731.8     0.000
2022-01-12/00:49:15          972.3     0.000
2022-01-12/00:49:45        0.03075     0.000
2022-01-12/00:49:45        0.03242     0.000
2022-01-12/00:49:45        0.04127     0.000
2022-01-12/00:49:45        0.05200     0.000
2022-01-12/00:49:45        0.06481     0.000
2022-01-12/00:49:45        0.08088     0.000
2022-01-12/00:49:45         0.1005     0.000
2022-01-12/00:49:45         0.1256     0.000
2022-01-12/00:49:45         0.1565     0.000
2022-01-12/00:49:45         0.1950     0.000
2022-01-12/00:49:45         0.2432   0.01111
2022-01-12/00:49:45         0.3030   0.02801
2022-01-12/00:49:45         0.3776   0.04254
2022-01-12/00:49:45         0.4700   0.05732
2022-01-12/00:49:45         0.5855    0.1050
2022-01-12/00:49:45         0.7291    0.1214
2022-01-12/00:49:45         0.9078    0.1190
2022-01-12/00:49:45          1.129    0.1093
2022-01-12/00:49:45          1.406   0.09527
2022-01-12/00:49:45          1.751   0.07956
2022-01-12/00:49:45          2.180    0.1397
2022-01-12/00:49:45          2.715    0.1930
2022-01-12/00:49:45          3.375    0.1759
2022-01-12/00:49:45          4.202    0.1497
2022-01-12/00:49:45          5.232    0.1216
2022-01-12/00:49:45          6.521   0.09603
2022-01-12/00:49:45          8.126   0.08382
2022-01-12/00:49:45          10.11   0.07400
2022-01-12/00:49:45          12.59    0.1378
2022-01-12/00:49:45          15.68    0.1218
2022-01-12/00:49:45          19.53    0.1065
2022-01-12/00:49:45          24.32   0.08790
2022-01-12/00:49:45          39.23   0.05679
2022-01-12/00:49:45          46.73   0.04845
2022-01-12/00:49:45          56.30   0.03976
2022-01-12/00:49:45          67.84   0.03144
2022-01-12/00:49:45          81.77   0.02393
2022-01-12/00:49:45          98.36   0.01929
2022-01-12/00:49:45          118.6   0.01544
2022-01-12/00:49:45          142.9   0.01286
2022-01-12/00:49:45          171.8   0.01105
2022-01-12/00:49:45          206.7  0.009447
2022-01-12/00:49:45          247.6  0.008142
2022-01-12/00:49:45          295.9  0.007239
2022-01-12/00:49:45          353.2  0.006427
2022-01-12/00:49:45          421.5  0.005701
2022-01-12/00:49:45          504.2  0.005108
2022-01-12/00:49:45          605.4  0.004547
2022-01-12/00:49:45          731.8  0.003981
2022-01-12/00:49:45          972.3  0.003259
2022-01-12/00:50:15        0.03075     0.000
2022-01-12/00:50:15        0.03242     0.000
2022-01-12/00:50:15        0.04127     0.000
2022-01-12/00:50:15        0.05200     0.000
2022-01-12/00:50:15        0.06481     0.000
2022-01-12/00:50:15        0.08088     0.000
2022-01-12/00:50:15         0.1005     0.000
2022-01-12/00:50:15         0.1256     0.000
2022-01-12/00:50:15         0.1565     0.000
2022-01-12/00:50:15         0.1950     0.000
2022-01-12/00:50:15         0.2432   0.03444
2022-01-12/00:50:15         0.3030   0.08762
2022-01-12/00:50:15         0.3776    0.1328
2022-01-12/00:50:15         0.4700    0.1843
2022-01-12/00:50:15         0.5855    0.3457
2022-01-12/00:50:15         0.7291    0.3960
2022-01-12/00:50:15         0.9078    0.3896
2022-01-12/00:50:15          1.129    0.3613
2022-01-12/00:50:15          1.406    0.3186
2022-01-12/00:50:15          1.751    0.2692
2022-01-12/00:50:15          2.180    0.3735
2022-01-12/00:50:15          2.715    0.4756
2022-01-12/00:50:15          3.375    0.4375
2022-01-12/00:50:15          4.202    0.3792
2022-01-12/00:50:15          5.232    0.3163
2022-01-12/00:50:15          6.521    0.2530
2022-01-12/00:50:15          8.126    0.2066
2022-01-12/00:50:15          10.11    0.1651
2022-01-12/00:50:15          12.59    0.1789
2022-01-12/00:50:15          15.68    0.1524
2022-01-12/00:50:15          19.53    0.1310
2022-01-12/00:50:15          24.32    0.1074
2022-01-12/00:50:15          39.23   0.06873
2022-01-12/00:50:15          46.73   0.05843
2022-01-12/00:50:15          56.30   0.04846
2022-01-12/00:50:15          67.84   0.03936
2022-01-12/00:50:15          81.77   0.03122
2022-01-12/00:50:15          98.36   0.02664
2022-01-12/00:50:15          118.6   0.02239
2022-01-12/00:50:15          142.9   0.01892
2022-01-12/00:50:15          171.8   0.01596
2022-01-12/00:50:15          206.7   0.01327
2022-01-12/00:50:15          247.6   0.01134
2022-01-12/00:50:15          295.9   0.01022
2022-01-12/00:50:15          353.2  0.009113
2022-01-12/00:50:15          421.5  0.008024
2022-01-12/00:50:15          504.2  0.007105
2022-01-12/00:50:15          605.4  0.006309
2022-01-12/00:50:15          731.8  0.005575
2022-01-12/00:50:15          972.3  0.004636
2022-01-12/00:50:45        0.03075     0.000
2022-01-12/00:50:45        0.03242     0.000
2022-01-12/00:50:45        0.04127     0.000
2022-01-12/00:50:45        0.05200     0.000
2022-01-12/00:50:45        0.06481     0.000
2022-01-12/00:50:45        0.08088     0.000
2022-01-12/00:50:45         0.1005     0.000
2022-01-12/00:50:45         0.1256     0.000
2022-01-12/00:50:45         0.1565     0.000
2022-01-12/00:50:45         0.1950     0.000
2022-01-12/00:50:45         0.2432     0.000
2022-01-12/00:50:45         0.3030     0.000
2022-01-12/00:50:45         0.3776     0.000
2022-01-12/00:50:45         0.4700     0.000
2022-01-12/00:50:45         0.5855     0.000
2022-01-12/00:50:45         0.7291     0.000
2022-01-12/00:50:45         0.9078     0.000
2022-01-12/00:50:45          1.129     0.000
2022-01-12/00:50:45          1.406     0.000
2022-01-12/00:50:45          1.751     0.000
2022-01-12/00:50:45          2.180     0.000
2022-01-12/00:50:45          2.715     0.000
2022-01-12/00:50:45          3.375     0.000
2022-01-12/00:50:45          4.202     0.000
2022-01-12/00:50:45          5.232     0.000
2022-01-12/00:50:45          6.521     0.000
2022-01-12/00:50:45          8.126     0.000
2022-01-12/00:50:45          10.11     0.000
2022-01-12/00:50:45          12.59     0.000
2022-01-12/00:50:45          15.68     0.000
2022-01-12/00:50:45          19.53     0.000
2022-01-12/00:50:45          24.32     0.000
2022-01-12/00:50:45          39.23     0.000
2022-01-12/00:50:45          46.73     0.000
2022-01-12/00:50:45          56.30     0.000
2022-01-12/00:50:45          67.84     0.000
2022-01-12/00:50:45          81.77     0.000
2022-01-12/00:50:45          98.36     0.000
2022-01-12/00:50:45          118.6     0.000
2022-01-12/00:50:45          142.9     0.000
