Time                             Mshell         energy           flux
2022-01-12/00:08:15          11.93     8126.     0.000
2022-01-12/00:08:15          11.93 1.011e+04     0.000
2022-01-12/00:08:15          11.93 1.259e+04     0.000
2022-01-12/00:08:15          11.93 1.568e+04     0.000
2022-01-12/00:08:15          11.93 1.953e+04     0.000
2022-01-12/00:08:15          11.93 2.432e+04     0.000
2022-01-12/00:08:15          11.93 3.923e+04     0.000
2022-01-12/00:08:15          11.93 4.673e+04     0.000
2022-01-12/00:08:15          11.93 5.630e+04     0.000
2022-01-12/00:08:15          11.93 6.784e+04     0.000
2022-01-12/00:08:15          11.93 8.177e+04     0.000
2022-01-12/00:08:15          11.93 9.836e+04     0.000
2022-01-12/00:08:15          11.93 1.186e+05     0.000
2022-01-12/00:08:15          11.93 1.429e+05     0.000
2022-01-12/00:08:15          11.93 1.718e+05     0.000
2022-01-12/00:08:15          11.93 2.067e+05     0.000
2022-01-12/00:08:15          11.93 2.476e+05     0.000
2022-01-12/00:08:15          11.93 2.959e+05     0.000
2022-01-12/00:08:15          11.93 3.532e+05     0.000
2022-01-12/00:08:15          11.93 4.215e+05     0.000
2022-01-12/00:08:15          11.93 5.042e+05     0.000
2022-01-12/00:08:15          11.93 6.054e+05     0.000
2022-01-12/00:08:15          11.93 7.318e+05     0.000
2022-01-12/00:08:15          11.93 9.723e+05     0.000
2022-01-12/00:08:45          11.92     30.75     0.000
2022-01-12/00:08:45          11.92     32.42     0.000
2022-01-12/00:08:45          11.92     41.27     0.000
2022-01-12/00:08:45          11.92     52.00     0.000
2022-01-12/00:08:45          11.92     64.81     0.000
2022-01-12/00:08:45          11.92     80.88     0.000
2022-01-12/00:08:45          11.92     100.5     0.000
2022-01-12/00:08:45          11.92     125.6     0.000
2022-01-12/00:08:45          11.92     156.5     0.000
2022-01-12/00:08:45          11.92     195.0     0.000
2022-01-12/00:08:45          11.92     243.2     0.000
2022-01-12/00:08:45          11.92     303.0     0.000
2022-01-12/00:08:45          11.92     377.6     0.000
2022-01-12/00:08:45          11.92     470.0     0.000
2022-01-12/00:08:45          11.92     585.5     0.000
2022-01-12/00:08:45          11.92     729.1     0.000
2022-01-12/00:08:45          11.92     907.8     0.000
2022-01-12/00:08:45          11.92     1129.     0.000
2022-01-12/00:08:45          11.92     1406.     0.000
2022-01-12/00:08:45          11.92     1751.     0.000
2022-01-12/00:08:45          11.92     2180.     0.000
2022-01-12/00:08:45          11.92     2715.     0.000
2022-01-12/00:08:45          11.92     3375.     0.000
2022-01-12/00:08:45          11.92     4202.     0.000
2022-01-12/00:08:45          11.92     5232.     0.000
2022-01-12/00:08:45          11.92     6521.     0.000
2022-01-12/00:08:45          11.92     8126.     0.000
2022-01-12/00:08:45          11.92 1.011e+04     0.000
2022-01-12/00:08:45          11.92 1.259e+04     0.000
2022-01-12/00:08:45          11.92 1.568e+04     0.000
2022-01-12/00:08:45          11.92 1.953e+04     0.000
2022-01-12/00:08:45          11.92 2.432e+04     0.000
2022-01-12/00:08:45          11.92 3.923e+04     0.000
2022-01-12/00:08:45          11.92 4.673e+04     0.000
2022-01-12/00:08:45          11.92 5.630e+04     0.000
2022-01-12/00:08:45          11.92 6.784e+04     0.000
2022-01-12/00:08:45          11.92 8.177e+04     0.000
2022-01-12/00:08:45          11.92 9.836e+04     0.000
2022-01-12/00:08:45          11.92 1.186e+05     0.000
2022-01-12/00:08:45          11.92 1.429e+05     0.000
2022-01-12/00:08:45          11.92 1.718e+05     0.000
2022-01-12/00:08:45          11.92 2.067e+05     0.000
2022-01-12/00:08:45          11.92 2.476e+05     0.000
2022-01-12/00:08:45          11.92 2.959e+05     0.000
2022-01-12/00:08:45          11.92 3.532e+05     0.000
2022-01-12/00:08:45          11.92 4.215e+05     0.000
2022-01-12/00:08:45          11.92 5.042e+05     0.000
2022-01-12/00:08:45          11.92 6.054e+05     0.000
2022-01-12/00:08:45          11.92 7.318e+05     0.000
2022-01-12/00:08:45          11.92 9.723e+05     0.000
2022-01-12/00:09:15          11.91     30.75     0.000
2022-01-12/00:09:15          11.91     32.42     0.000
2022-01-12/00:09:15          11.91     41.27     0.000
2022-01-12/00:09:15          11.91     52.00     0.000
2022-01-12/00:09:15          11.91     64.81     0.000
2022-01-12/00:09:15          11.91     80.88     0.000
2022-01-12/00:09:15          11.91     100.5     0.000
2022-01-12/00:09:15          11.91     125.6     0.000
2022-01-12/00:09:15          11.91     156.5     0.000
2022-01-12/00:09:15          11.91     195.0     0.000
2022-01-12/00:09:15          11.91     243.2     0.000
2022-01-12/00:09:15          11.91     303.0     0.000
2022-01-12/00:09:15          11.91     377.6     0.000
2022-01-12/00:09:15          11.91     470.0     0.000
2022-01-12/00:09:15          11.91     585.5     0.000
2022-01-12/00:09:15          11.91     729.1     0.000
2022-01-12/00:09:15          11.91     907.8     0.000
2022-01-12/00:09:15          11.91     1129.     0.000
2022-01-12/00:09:15          11.91     1406.     0.000
2022-01-12/00:09:15          11.91     1751.     0.000
2022-01-12/00:09:15          11.91     2180.     0.000
2022-01-12/00:09:15          11.91     2715.     0.000
2022-01-12/00:09:15          11.91     3375.     0.000
2022-01-12/00:09:15          11.91     4202.     0.000
2022-01-12/00:09:15          11.91     5232.     0.000
2022-01-12/00:09:15          11.91     6521.     0.000
2022-01-12/00:09:15          11.91     8126.     0.000
2022-01-12/00:09:15          11.91 1.011e+04     0.000
2022-01-12/00:09:15          11.91 1.259e+04     0.000
