                    time         Energy            Daa
     2022-01-12/02:54:45   0.04673 2.626e-05
     2022-01-12/02:54:45   0.05630 2.847e-05
     2022-01-12/02:54:45   0.06784 3.079e-05
     2022-01-12/02:54:45   0.08177 3.322e-05
     2022-01-12/02:54:45   0.09836 3.571e-05
     2022-01-12/02:54:45    0.1186 3.829e-05
     2022-01-12/02:54:45    0.1429 4.090e-05
     2022-01-12/02:54:45    0.1718 4.347e-05
     2022-01-12/02:54:45    0.2067 4.602e-05
     2022-01-12/02:54:45    0.2476 4.844e-05
     2022-01-12/02:54:45    0.2959 5.073e-05
     2022-01-12/02:54:45    0.3532 5.286e-05
     2022-01-12/02:54:45    0.4215 5.483e-05
     2022-01-12/02:54:45    0.5042 5.664e-05
     2022-01-12/02:54:45    0.6054 5.827e-05
     2022-01-12/02:54:45    0.7318 5.975e-05
     2022-01-12/02:54:45    0.9723 6.153e-05
     2022-01-12/02:55:15 3.075e-05 7.196e-07
     2022-01-12/02:55:15 3.242e-05 7.388e-07
     2022-01-12/02:55:15 4.127e-05 8.336e-07
     2022-01-12/02:55:15 5.200e-05 9.357e-07
     2022-01-12/02:55:15 6.481e-05 1.045e-06
     2022-01-12/02:55:15 8.088e-05 1.167e-06
     2022-01-12/02:55:15 0.0001005 1.301e-06
     2022-01-12/02:55:15 0.0001256 1.454e-06
     2022-01-12/02:55:15 0.0001565 1.623e-06
     2022-01-12/02:55:15 0.0001950 1.812e-06
     2022-01-12/02:55:15 0.0002432 2.023e-06
     2022-01-12/02:55:15 0.0003030 2.258e-06
     2022-01-12/02:55:15 0.0003776 2.520e-06
     2022-01-12/02:55:15 0.0004700 2.811e-06
     2022-01-12/02:55:15 0.0005855 3.137e-06
     2022-01-12/02:55:15 0.0007291 3.500e-06
     2022-01-12/02:55:15 0.0009078 3.905e-06
     2022-01-12/02:55:15  0.001129 4.354e-06
     2022-01-12/02:55:15  0.001406 4.856e-06
     2022-01-12/02:55:15  0.001751 5.416e-06
     2022-01-12/02:55:15  0.002180 6.039e-06
     2022-01-12/02:55:15  0.002715 6.735e-06
     2022-01-12/02:55:15  0.003375 7.502e-06
     2022-01-12/02:55:15  0.004202 8.361e-06
     2022-01-12/02:55:15  0.005232 9.316e-06
     2022-01-12/02:55:15  0.006521 1.038e-05
     2022-01-12/02:55:15  0.008126 1.156e-05
     2022-01-12/02:55:15   0.01011 1.286e-05
     2022-01-12/02:55:15   0.01259 1.430e-05
     2022-01-12/02:55:15   0.01568 1.589e-05
     2022-01-12/02:55:15   0.01953 1.764e-05
     2022-01-12/02:55:15   0.02432 1.955e-05
     2022-01-12/02:55:15   0.03923 2.433e-05
     2022-01-12/02:55:15   0.04673 2.628e-05
     2022-01-12/02:55:15   0.05630 2.849e-05
     2022-01-12/02:55:15   0.06784 3.081e-05
     2022-01-12/02:55:15   0.08177 3.324e-05
     2022-01-12/02:55:15   0.09836 3.573e-05
     2022-01-12/02:55:15    0.1186 3.832e-05
     2022-01-12/02:55:15    0.1429 4.093e-05
     2022-01-12/02:55:15    0.1718 4.351e-05
     2022-01-12/02:55:15    0.2067 4.606e-05
     2022-01-12/02:55:15    0.2476 4.848e-05
     2022-01-12/02:55:15    0.2959 5.076e-05
     2022-01-12/02:55:15    0.3532 5.290e-05
     2022-01-12/02:55:15    0.4215 5.487e-05
     2022-01-12/02:55:15    0.5042 5.668e-05
     2022-01-12/02:55:15    0.6054 5.832e-05
     2022-01-12/02:55:15    0.7318 5.979e-05
     2022-01-12/02:55:15    0.9723 6.158e-05
