Time                             Mshell         energy           flux
2022-01-12/00:07:45          11.94     41.27 3.135e+10
2022-01-12/00:07:45          11.94     52.00 2.561e+10
2022-01-12/00:07:45          11.94     64.81 1.896e+10
2022-01-12/00:07:45          11.94     80.88 1.417e+10
2022-01-12/00:07:45          11.94     100.5 9.664e+09
2022-01-12/00:07:45          11.94     125.6 6.241e+09
2022-01-12/00:07:45          11.94     156.5 3.760e+09
2022-01-12/00:07:45          11.94     195.0 2.403e+09
2022-01-12/00:07:45          11.94     243.2 1.495e+09
2022-01-12/00:07:45          11.94     303.0 9.331e+08
2022-01-12/00:07:45          11.94     377.6 5.951e+08
2022-01-12/00:07:45          11.94     470.0 4.027e+08
2022-01-12/00:07:45          11.94     585.5 2.658e+08
2022-01-12/00:07:45          11.94     729.1 1.781e+08
2022-01-12/00:07:45          11.94     907.8 1.281e+08
2022-01-12/00:07:45          11.94     1129. 8.805e+07
2022-01-12/00:07:45          11.94     1406. 6.012e+07
2022-01-12/00:07:45          11.94     1751. 4.167e+07
2022-01-12/00:07:45          11.94     2180. 2.893e+07
2022-01-12/00:07:45          11.94     2715. 1.874e+07
2022-01-12/00:07:45          11.94     3375. 1.395e+07
2022-01-12/00:07:45          11.94     4202. 1.121e+07
2022-01-12/00:07:45          11.94     5232. 8.576e+06
2022-01-12/00:07:45          11.94     6521. 6.836e+06
2022-01-12/00:07:45          11.94     8126. 5.085e+06
2022-01-12/00:07:45          11.94 1.011e+04 4.089e+06
2022-01-12/00:07:45          11.94 1.259e+04 3.351e+06
2022-01-12/00:07:45          11.94 1.568e+04 2.660e+06
2022-01-12/00:07:45          11.94 1.953e+04 2.408e+06
2022-01-12/00:07:45          11.94 2.432e+04 1.909e+06
2022-01-12/00:07:45          11.94 3.923e+04 1.569e+06
2022-01-12/00:07:45          11.94 4.673e+04 1.169e+06
2022-01-12/00:07:45          11.94 5.630e+04 8.950e+05
2022-01-12/00:07:45          11.94 6.784e+04 6.899e+05
2022-01-12/00:07:45          11.94 8.177e+04 4.647e+05
2022-01-12/00:07:45          11.94 9.836e+04 3.921e+05
2022-01-12/00:07:45          11.94 1.186e+05 3.216e+05
2022-01-12/00:07:45          11.94 1.429e+05 2.619e+05
2022-01-12/00:07:45          11.94 1.718e+05 2.275e+05
2022-01-12/00:07:45          11.94 2.067e+05 1.976e+05
2022-01-12/00:07:45          11.94 2.476e+05 1.519e+05
2022-01-12/00:07:45          11.94 2.959e+05 1.205e+05
2022-01-12/00:07:45          11.94 3.532e+05 8.638e+04
2022-01-12/00:07:45          11.94 4.215e+05 5.952e+04
2022-01-12/00:07:45          11.94 5.042e+05 3.741e+04
2022-01-12/00:07:45          11.94 6.054e+05 2.301e+04
2022-01-12/00:07:45          11.94 7.318e+05 1.633e+04
2022-01-12/00:07:45          11.94 9.723e+05 1.089e+04
2022-01-12/00:08:15          11.93     30.75 3.726e+10
2022-01-12/00:08:15          11.93     32.42 3.571e+10
2022-01-12/00:08:15          11.93     41.27 2.858e+10
2022-01-12/00:08:15          11.93     52.00 2.267e+10
2022-01-12/00:08:15          11.93     64.81 1.723e+10
2022-01-12/00:08:15          11.93     80.88 1.286e+10
2022-01-12/00:08:15          11.93     100.5 8.853e+09
2022-01-12/00:08:15          11.93     125.6 5.942e+09
2022-01-12/00:08:15          11.93     156.5 3.818e+09
2022-01-12/00:08:15          11.93     195.0 2.464e+09
2022-01-12/00:08:15          11.93     243.2 1.587e+09
2022-01-12/00:08:15          11.93     303.0 1.062e+09
2022-01-12/00:08:15          11.93     377.6 6.920e+08
2022-01-12/00:08:15          11.93     470.0 4.745e+08
2022-01-12/00:08:15          11.93     585.5 3.285e+08
2022-01-12/00:08:15          11.93     729.1 2.200e+08
2022-01-12/00:08:15          11.93     907.8 1.602e+08
2022-01-12/00:08:15          11.93     1129. 1.101e+08
2022-01-12/00:08:15          11.93     1406. 7.674e+07
2022-01-12/00:08:15          11.93     1751. 5.257e+07
2022-01-12/00:08:15          11.93     2180. 3.631e+07
2022-01-12/00:08:15          11.93     2715. 2.337e+07
2022-01-12/00:08:15          11.93     3375. 1.765e+07
2022-01-12/00:08:15          11.93     4202. 1.341e+07
2022-01-12/00:08:15          11.93     5232. 1.024e+07
2022-01-12/00:08:15          11.93     6521. 7.957e+06
2022-01-12/00:08:15          11.93     8126. 6.142e+06
2022-01-12/00:08:15          11.93 1.011e+04 4.881e+06
2022-01-12/00:08:15          11.93 1.259e+04 3.941e+06
2022-01-12/00:08:15          11.93 1.568e+04 3.138e+06
2022-01-12/00:08:15          11.93 1.953e+04 2.645e+06
2022-01-12/00:08:15          11.93 2.432e+04 2.143e+06
2022-01-12/00:08:15          11.93 3.923e+04 1.533e+06
2022-01-12/00:08:15          11.93 4.673e+04 1.170e+06
2022-01-12/00:08:15          11.93 5.630e+04 9.016e+05
2022-01-12/00:08:15          11.93 6.784e+04 6.988e+05
2022-01-12/00:08:15          11.93 8.177e+04 4.589e+05
2022-01-12/00:08:15          11.93 9.836e+04 4.107e+05
