Time                    Mshell    R         MagLat    MLT       
     2022-01-12/03:50:10     8.629     8.594    -3.070     19.93
     2022-01-12/03:50:20     8.626     8.592    -3.059     19.93
     2022-01-12/03:50:30     8.624     8.589    -3.048     19.93
     2022-01-12/03:50:40     8.621     8.587    -3.037     19.93
     2022-01-12/03:50:50     8.618     8.584    -3.026     19.93
     2022-01-12/03:51:00     8.616     8.582    -3.014     19.93
     2022-01-12/03:51:10     8.613     8.579    -3.003     19.93
     2022-01-12/03:51:20     8.610     8.577    -2.992     19.93
     2022-01-12/03:51:30     8.607     8.574    -2.980     19.93
     2022-01-12/03:51:40     8.605     8.572    -2.969     19.93
     2022-01-12/03:51:50     8.602     8.569    -2.957     19.93
     2022-01-12/03:52:00     8.599     8.567    -2.946     19.93
     2022-01-12/03:52:10     8.596     8.564    -2.934     19.93
     2022-01-12/03:52:20     8.594     8.562    -2.923     19.93
     2022-01-12/03:52:30     8.591     8.559    -2.911     19.93
     2022-01-12/03:52:40     8.588     8.556    -2.900     19.93
     2022-01-12/03:52:50     8.585     8.554    -2.888     19.93
     2022-01-12/03:53:00     8.583     8.551    -2.876     19.93
     2022-01-12/03:53:10     8.580     8.549    -2.865     19.93
     2022-01-12/03:53:20     8.577     8.546    -2.853     19.93
     2022-01-12/03:53:30     8.574     8.544    -2.841     19.93
     2022-01-12/03:53:40     8.572     8.541    -2.829     19.93
     2022-01-12/03:53:50     8.569     8.539    -2.818     19.93
     2022-01-12/03:54:00     8.566     8.536    -2.806     19.93
     2022-01-12/03:54:10     8.563     8.534    -2.794     19.93
     2022-01-12/03:54:20     8.561     8.531    -2.782     19.93
     2022-01-12/03:54:30     8.558     8.528    -2.770     19.93
     2022-01-12/03:54:40     8.555     8.526    -2.758     19.93
     2022-01-12/03:54:50     8.552     8.523    -2.746     19.93
     2022-01-12/03:55:00     8.550     8.521    -2.734     19.93
     2022-01-12/03:55:10     8.547     8.518    -2.721     19.93
     2022-01-12/03:55:20     8.544     8.516    -2.709     19.93
     2022-01-12/03:55:30     8.541     8.513    -2.697     19.93
     2022-01-12/03:55:40     8.539     8.511    -2.685     19.93
     2022-01-12/03:55:50     8.536     8.508    -2.673     19.93
     2022-01-12/03:56:00     8.533     8.506    -2.660     19.93
     2022-01-12/03:56:10     8.530     8.503    -2.648     19.93
     2022-01-12/03:56:20     8.528     8.500    -2.636     19.93
     2022-01-12/03:56:30     8.525     8.498    -2.623     19.93
     2022-01-12/03:56:40     8.522     8.495    -2.611     19.93
     2022-01-12/03:56:50     8.519     8.493    -2.598     19.93
     2022-01-12/03:57:00     8.517     8.490    -2.586     19.93
     2022-01-12/03:57:10     8.514     8.488    -2.573     19.93
     2022-01-12/03:57:20     8.511     8.485    -2.561     19.93
     2022-01-12/03:57:30     8.508     8.483    -2.548     19.93
     2022-01-12/03:57:40     8.506     8.480    -2.535     19.93
     2022-01-12/03:57:50     8.503     8.477    -2.523     19.93
     2022-01-12/03:58:00     8.500     8.475    -2.510     19.93
     2022-01-12/03:58:10     8.497     8.472    -2.497     19.93
     2022-01-12/03:58:20     8.495     8.470    -2.484     19.93
     2022-01-12/03:58:30     8.492     8.467    -2.472     19.93
     2022-01-12/03:58:40     8.489     8.465    -2.459     19.93
     2022-01-12/03:58:50     8.486     8.462    -2.446     19.93
     2022-01-12/03:59:00     8.484     8.460    -2.433     19.93
     2022-01-12/03:59:10     8.481     8.457    -2.420     19.93
     2022-01-12/03:59:20     8.478     8.455    -2.407     19.93
     2022-01-12/03:59:30     8.475     8.452    -2.394     19.93
     2022-01-12/03:59:40     8.473     8.449    -2.381     19.93
     2022-01-12/03:59:50     8.470     8.447    -2.368     19.93
     2022-01-12/04:00:00     8.467     8.444    -2.355     19.93
     2022-01-12/04:00:10     8.464     8.442    -2.342     19.93
     2022-01-12/04:00:20     8.462     8.439    -2.329     19.93
     2022-01-12/04:00:30     8.459     8.437    -2.315     19.93
     2022-01-12/04:00:40     8.456     8.434    -2.302     19.93
     2022-01-12/04:00:50     8.453     8.432    -2.289     19.93
     2022-01-12/04:01:00     8.451     8.429    -2.275     19.93
     2022-01-12/04:01:10     8.448     8.426    -2.262     19.93
     2022-01-12/04:01:20     8.445     8.424    -2.249     19.93
     2022-01-12/04:01:30     8.442     8.421    -2.235     19.93
     2022-01-12/04:01:40     8.440     8.419    -2.222     19.93
     2022-01-12/04:01:50     8.437     8.416    -2.208     19.93
     2022-01-12/04:02:00     8.434     8.414    -2.195     19.93
     2022-01-12/04:02:10     8.431     8.411    -2.181     19.93
     2022-01-12/04:02:20     8.429     8.408    -2.168     19.93
     2022-01-12/04:02:30     8.426     8.406    -2.154     19.93
     2022-01-12/04:02:40     8.423     8.403    -2.140     19.93
     2022-01-12/04:02:50     8.420     8.401    -2.127     19.93
     2022-01-12/04:03:00     8.418     8.398    -2.113     19.93
     2022-01-12/04:03:10     8.415     8.396    -2.099     19.93
     2022-01-12/04:03:20     8.412     8.393    -2.085     19.93
     2022-01-12/04:03:30     8.409     8.391    -2.072     19.93
     2022-01-12/04:03:40     8.407     8.388    -2.058     19.93
     2022-01-12/04:03:50     8.404     8.385    -2.044     19.93
     2022-01-12/04:04:00     8.401     8.383    -2.030     19.93
     2022-01-12/04:04:10     8.398     8.380    -2.016     19.93
     2022-01-12/04:04:20     8.396     8.378    -2.002     19.93
     2022-01-12/04:04:30     8.393     8.375    -1.988     19.93
     2022-01-12/04:04:40     8.390     8.373    -1.974     19.93
     2022-01-12/04:04:50     8.387     8.370    -1.960     19.93
     2022-01-12/04:05:00     8.384     8.367    -1.946     19.93
     2022-01-12/04:05:10     8.382     8.365    -1.932     19.93
     2022-01-12/04:05:20     8.379     8.362    -1.917     19.93
     2022-01-12/04:05:30     8.376     8.360    -1.903     19.93
     2022-01-12/04:05:40     8.373     8.357    -1.889     19.93
     2022-01-12/04:05:50     8.371     8.355    -1.875     19.93
     2022-01-12/04:06:00     8.368     8.352    -1.860     19.93
     2022-01-12/04:06:10     8.365     8.349    -1.846     19.93
     2022-01-12/04:06:20     8.362     8.347    -1.832     19.93
     2022-01-12/04:06:30     8.360     8.344    -1.817     19.93
     2022-01-12/04:06:40     8.357     8.342    -1.803     19.93
     2022-01-12/04:06:50     8.354     8.339    -1.788     19.93
     2022-01-12/04:07:00     8.351     8.337    -1.774     19.93
     2022-01-12/04:07:10     8.349     8.334    -1.759     19.93
     2022-01-12/04:07:20     8.346     8.331    -1.745     19.93
     2022-01-12/04:07:30     8.343     8.329    -1.730     19.93
     2022-01-12/04:07:40     8.340     8.326    -1.715     19.93
     2022-01-12/04:07:50     8.338     8.324    -1.701     19.93
     2022-01-12/04:08:00     8.335     8.321    -1.686     19.93
     2022-01-12/04:08:10     8.332     8.319    -1.671     19.93
     2022-01-12/04:08:20     8.329     8.316    -1.656     19.93
     2022-01-12/04:08:30     8.327     8.313    -1.642     19.93
     2022-01-12/04:08:40     8.324     8.311    -1.627     19.93
     2022-01-12/04:08:50     8.321     8.308    -1.612     19.93
     2022-01-12/04:09:00     8.318     8.306    -1.597     19.93
     2022-01-12/04:09:10     8.316     8.303    -1.582     19.93
     2022-01-12/04:09:20     8.313     8.301    -1.567     19.93
     2022-01-12/04:09:30     8.310     8.298    -1.552     19.93
     2022-01-12/04:09:40     8.307     8.295    -1.537     19.93
     2022-01-12/04:09:50     8.305     8.293    -1.522     19.93
     2022-01-12/04:10:00     8.302     8.290    -1.507     19.93
     2022-01-12/04:10:10     8.299     8.288    -1.492     19.93
     2022-01-12/04:10:20     8.296     8.285    -1.476     19.93
     2022-01-12/04:10:30     8.294     8.283    -1.461     19.93
     2022-01-12/04:10:40     8.291     8.280    -1.446     19.93
     2022-01-12/04:10:50     8.288     8.277    -1.431     19.93
     2022-01-12/04:11:00     8.285     8.275    -1.415     19.93
     2022-01-12/04:11:10     8.283     8.272    -1.400     19.93
     2022-01-12/04:11:20     8.280     8.270    -1.385     19.93
     2022-01-12/04:11:30     8.277     8.267    -1.369     19.93
     2022-01-12/04:11:40     8.274     8.264    -1.354     19.93
     2022-01-12/04:11:50     8.272     8.262    -1.338     19.93
     2022-01-12/04:12:00     8.269     8.259    -1.323     19.93
     2022-01-12/04:12:10     8.266     8.257    -1.307     19.94
     2022-01-12/04:12:20     8.263     8.254    -1.292     19.94
     2022-01-12/04:12:30     8.261     8.252    -1.276     19.94
     2022-01-12/04:12:40     8.258     8.249    -1.261     19.94
     2022-01-12/04:12:50     8.255     8.246    -1.245     19.94
     2022-01-12/04:13:00     8.252     8.244    -1.229     19.94
     2022-01-12/04:13:10     8.250     8.241    -1.214     19.94
     2022-01-12/04:13:20     8.247     8.239    -1.198     19.94
     2022-01-12/04:13:30     8.244     8.236    -1.182     19.94
     2022-01-12/04:13:40     8.241     8.233    -1.166     19.94
     2022-01-12/04:13:50     8.239     8.231    -1.150     19.94
     2022-01-12/04:14:00     8.236     8.228    -1.134     19.94
     2022-01-12/04:14:10     8.233     8.226    -1.119     19.94
     2022-01-12/04:14:20     8.231     8.223    -1.103     19.94
     2022-01-12/04:14:30     8.228     8.220    -1.087     19.94
     2022-01-12/04:14:40     8.225     8.218    -1.071     19.94
     2022-01-12/04:14:50     8.222     8.215    -1.055     19.94
     2022-01-12/04:15:00     8.220     8.213    -1.038     19.94
     2022-01-12/04:15:10     8.217     8.210    -1.022     19.94
     2022-01-12/04:15:20     8.214     8.208    -1.006     19.94
     2022-01-12/04:15:30     8.211     8.205   -0.9901     19.94
     2022-01-12/04:15:40     8.209     8.202   -0.9739     19.94
     2022-01-12/04:15:50     8.206     8.200   -0.9576     19.94
     2022-01-12/04:16:00     8.203     8.197   -0.9414     19.94
     2022-01-12/04:16:10     8.200     8.195   -0.9251     19.94
     2022-01-12/04:16:20     8.198     8.192   -0.9087     19.94
     2022-01-12/04:16:30     8.195     8.189   -0.8924     19.94
     2022-01-12/04:16:40     8.192     8.187   -0.8760     19.94
     2022-01-12/04:16:50     8.189     8.184   -0.8596     19.94
     2022-01-12/04:17:00     8.187     8.182   -0.8431     19.94
     2022-01-12/04:17:10     8.184     8.179   -0.8266     19.94
     2022-01-12/04:17:20     8.181     8.176   -0.8101     19.94
     2022-01-12/04:17:30     8.179     8.174   -0.7935     19.94
     2022-01-12/04:17:40     8.176     8.171   -0.7770     19.94
     2022-01-12/04:17:50     8.173     8.169   -0.7603     19.94
     2022-01-12/04:18:00     8.170     8.166   -0.7437     19.94
     2022-01-12/04:18:10     8.168     8.163   -0.7270     19.94
     2022-01-12/04:18:20     8.165     8.161   -0.7103     19.94
     2022-01-12/04:18:30     8.162     8.158   -0.6936     19.94
     2022-01-12/04:18:40     8.159     8.156   -0.6768     19.94
     2022-01-12/04:18:50     8.157     8.153   -0.6600     19.94
     2022-01-12/04:19:00     8.154     8.150   -0.6432     19.94
     2022-01-12/04:19:10     8.151     8.148   -0.6263     19.94
     2022-01-12/04:19:20     8.149     8.145   -0.6094     19.94
     2022-01-12/04:19:30     8.146     8.143   -0.5925     19.94
     2022-01-12/04:19:40     8.143     8.140   -0.5755     19.94
     2022-01-12/04:19:50     8.140     8.137   -0.5585     19.94
     2022-01-12/04:20:00     8.138     8.135   -0.5415     19.94
     2022-01-12/04:20:10     8.135     8.132   -0.5245     19.94
     2022-01-12/04:20:20     8.132     8.130   -0.5074     19.94
     2022-01-12/04:20:30     8.129     8.127   -0.4903     19.94
     2022-01-12/04:20:40     8.127     8.124   -0.4731     19.94
     2022-01-12/04:20:50     8.124     8.122   -0.4560     19.94
     2022-01-12/04:21:00     8.121     8.119   -0.4387     19.94
     2022-01-12/04:21:10     8.119     8.117   -0.4215     19.94
     2022-01-12/04:21:20     8.116     8.114   -0.4042     19.94
     2022-01-12/04:21:30     8.113     8.111   -0.3869     19.94
     2022-01-12/04:21:40     8.110     8.109   -0.3696     19.94
     2022-01-12/04:21:50     8.108     8.106   -0.3522     19.94
     2022-01-12/04:22:00     8.105     8.104   -0.3349     19.94
     2022-01-12/04:22:10     8.102     8.101   -0.3174     19.94
     2022-01-12/04:22:20     8.100     8.098   -0.3000     19.94
     2022-01-12/04:22:30     8.097     8.096   -0.2825     19.94
     2022-01-12/04:22:40     8.094     8.093   -0.2650     19.94
     2022-01-12/04:22:50     8.091     8.091   -0.2474     19.94
     2022-01-12/04:23:00     8.089     8.088   -0.2299     19.94
     2022-01-12/04:23:10     8.086     8.085   -0.2123     19.94
     2022-01-12/04:23:20     8.083     8.083   -0.1946     19.94
     2022-01-12/04:23:30     8.081     8.080   -0.1770     19.94
     2022-01-12/04:23:40     8.078     8.077   -0.1593     19.95
     2022-01-12/04:23:50     8.075     8.075   -0.1415     19.95
     2022-01-12/04:24:00     8.073     8.072   -0.1238     19.95
     2022-01-12/04:24:10     8.070     8.070   -0.1060     19.95
     2022-01-12/04:24:20     8.067     8.067  -0.08816     19.95
     2022-01-12/04:24:30     8.064     8.064  -0.07031     19.95
     2022-01-12/04:24:40     8.062     8.062  -0.05243     19.95
     2022-01-12/04:24:50     8.059     8.059  -0.03451     19.95
     2022-01-12/04:25:00     8.056     8.057  -0.01657     19.95
     2022-01-12/04:25:10     8.054     8.054  0.001398     19.95
     2022-01-12/04:25:20     8.051     8.051   0.01940     19.95
     2022-01-12/04:25:30     8.048     8.049   0.03743     19.95
     2022-01-12/04:25:40     8.046     8.046   0.05549     19.95
     2022-01-12/04:25:50     8.043     8.044   0.07359     19.95
     2022-01-12/04:26:00     8.040     8.041   0.09171     19.95
     2022-01-12/04:26:10     8.037     8.038    0.1099     19.95
     2022-01-12/04:26:20     8.035     8.036    0.1280     19.95
     2022-01-12/04:26:30     8.032     8.033    0.1463     19.95
     2022-01-12/04:26:40     8.029     8.030    0.1645     19.95
     2022-01-12/04:26:50     8.027     8.028    0.1828     19.95
     2022-01-12/04:27:00     8.024     8.025    0.2011     19.95
     2022-01-12/04:27:10     8.021     8.023    0.2194     19.95
     2022-01-12/04:27:20     8.019     8.020    0.2378     19.95
     2022-01-12/04:27:30     8.016     8.017    0.2562     19.95
     2022-01-12/04:27:40     8.013     8.015    0.2746     19.95
     2022-01-12/04:27:50     8.011     8.012    0.2930     19.95
     2022-01-12/04:28:00     8.008     8.009    0.3115     19.95
     2022-01-12/04:28:10     8.005     8.007    0.3300     19.95
     2022-01-12/04:28:20     8.003     8.004    0.3486     19.95
     2022-01-12/04:28:30     8.000     8.002    0.3671     19.95
     2022-01-12/04:28:40     7.997     7.999    0.3857     19.95
     2022-01-12/04:28:50     7.995     7.996    0.4044     19.95
     2022-01-12/04:29:00     7.992     7.994    0.4230     19.95
     2022-01-12/04:29:10     7.989     7.991    0.4417     19.95
     2022-01-12/04:29:20     7.987     7.988    0.4604     19.95
     2022-01-12/04:29:30     7.984     7.986    0.4792     19.95
     2022-01-12/04:29:40     7.981     7.983    0.4980     19.95
     2022-01-12/04:29:50     7.979     7.981    0.5168     19.95
     2022-01-12/04:30:00     7.976     7.978    0.5356     19.95
     2022-01-12/04:30:10     7.973     7.975    0.5545     19.95
     2022-01-12/04:30:20     7.971     7.973    0.5734     19.95
     2022-01-12/04:30:30     7.968     7.970    0.5923     19.95
     2022-01-12/04:30:40     7.965     7.967    0.6113     19.95
     2022-01-12/04:30:50     7.963     7.965    0.6302     19.95
     2022-01-12/04:31:00     7.960     7.962    0.6492     19.95
     2022-01-12/04:31:10     7.957     7.960    0.6683     19.95
     2022-01-12/04:31:20     7.955     7.957    0.6874     19.95
     2022-01-12/04:31:30     7.952     7.954    0.7065     19.95
     2022-01-12/04:31:40     7.949     7.952    0.7256     19.95
     2022-01-12/04:31:50     7.947     7.949    0.7447     19.95
     2022-01-12/04:32:00     7.944     7.946    0.7639     19.95
     2022-01-12/04:32:10     7.941     7.944    0.7831     19.95
     2022-01-12/04:32:20     7.939     7.941    0.8024     19.96
     2022-01-12/04:32:30     7.936     7.939    0.8217     19.96
     2022-01-12/04:32:40     7.933     7.936    0.8410     19.96
     2022-01-12/04:32:50     7.931     7.933    0.8603     19.96
     2022-01-12/04:33:00     7.928     7.931    0.8797     19.96
     2022-01-12/04:33:10     7.925     7.928    0.8991     19.96
     2022-01-12/04:33:20     7.923     7.925    0.9185     19.96
     2022-01-12/04:33:30     7.920     7.923    0.9379     19.96
     2022-01-12/04:33:40     7.918     7.920    0.9574     19.96
     2022-01-12/04:33:50     7.915     7.917    0.9769     19.96
     2022-01-12/04:34:00     7.912     7.915    0.9964     19.96
     2022-01-12/04:34:10     7.910     7.912     1.016     19.96
     2022-01-12/04:34:20     7.907     7.910     1.036     19.96
     2022-01-12/04:34:30     7.904     7.907     1.055     19.96
     2022-01-12/04:34:40     7.902     7.904     1.075     19.96
     2022-01-12/04:34:50     7.899     7.902     1.095     19.96
     2022-01-12/04:35:00     7.897     7.899     1.114     19.96
     2022-01-12/04:35:10     7.894     7.896     1.134     19.96
     2022-01-12/04:35:20     7.891     7.894     1.154     19.96
     2022-01-12/04:35:30     7.889     7.891     1.174     19.96
     2022-01-12/04:35:40     7.886     7.888     1.193     19.96
     2022-01-12/04:35:50     7.883     7.886     1.213     19.96
     2022-01-12/04:36:00     7.881     7.883     1.233     19.96
     2022-01-12/04:36:10     7.878     7.881     1.253     19.96
     2022-01-12/04:36:20     7.876     7.878     1.273     19.96
     2022-01-12/04:36:30     7.873     7.875     1.293     19.96
     2022-01-12/04:36:40     7.870     7.873     1.313     19.96
     2022-01-12/04:36:50     7.868     7.870     1.333     19.96
     2022-01-12/04:37:00     7.865     7.867     1.353     19.96
     2022-01-12/04:37:10     7.862     7.865     1.373     19.96
     2022-01-12/04:37:20     7.860     7.862     1.393     19.96
     2022-01-12/04:37:30     7.857     7.859     1.413     19.96
     2022-01-12/04:37:40     7.855     7.857     1.433     19.96
     2022-01-12/04:37:50     7.852     7.854     1.454     19.96
     2022-01-12/04:38:00     7.849     7.851     1.474     19.96
     2022-01-12/04:38:10     7.847     7.849     1.494     19.96
     2022-01-12/04:38:20     7.844     7.846     1.514     19.96
     2022-01-12/04:38:30     7.842     7.844     1.535     19.96
     2022-01-12/04:38:40     7.839     7.841     1.555     19.96
     2022-01-12/04:38:50     7.836     7.838     1.575     19.96
     2022-01-12/04:39:00     7.834     7.836     1.596     19.96
     2022-01-12/04:39:10     7.831     7.833     1.616     19.96
     2022-01-12/04:39:20     7.829     7.830     1.636     19.96
     2022-01-12/04:39:30     7.826     7.828     1.657     19.96
     2022-01-12/04:39:40     7.824     7.825     1.677     19.96
     2022-01-12/04:39:50     7.821     7.822     1.698     19.97
     2022-01-12/04:40:00     7.818     7.820     1.718     19.97
     2022-01-12/04:40:10     7.816     7.817     1.739     19.97
     2022-01-12/04:40:20     7.813     7.814     1.760     19.97
     2022-01-12/04:40:30     7.811     7.812     1.780     19.97
     2022-01-12/04:40:40     7.808     7.809     1.801     19.97
     2022-01-12/04:40:50     7.806     7.806     1.822     19.97
     2022-01-12/04:41:00     7.803     7.804     1.842     19.97
     2022-01-12/04:41:10     7.800     7.801     1.863     19.97
     2022-01-12/04:41:20     7.798     7.798     1.884     19.97
     2022-01-12/04:41:30     7.795     7.796     1.905     19.97
     2022-01-12/04:41:40     7.793     7.793     1.925     19.97
     2022-01-12/04:41:50     7.790     7.791     1.946     19.97
     2022-01-12/04:42:00     7.787     7.788     1.967     19.97
     2022-01-12/04:42:10     7.785     7.785     1.988     19.97
     2022-01-12/04:42:20     7.782     7.783     2.009     19.97
     2022-01-12/04:42:30     7.780     7.780     2.030     19.97
     2022-01-12/04:42:40     7.777     7.777     2.051     19.97
     2022-01-12/04:42:50     7.775     7.775     2.072     19.97
     2022-01-12/04:43:00     7.772     7.772     2.093     19.97
     2022-01-12/04:43:10     7.770     7.769     2.114     19.97
     2022-01-12/04:43:20     7.767     7.767     2.135     19.97
     2022-01-12/04:43:30     7.764     7.764     2.156     19.97
     2022-01-12/04:43:40     7.762     7.761     2.177     19.97
     2022-01-12/04:43:50     7.759     7.759     2.199     19.97
     2022-01-12/04:44:00     7.757     7.756     2.220     19.97
     2022-01-12/04:44:10     7.754     7.753     2.241     19.97
     2022-01-12/04:44:20     7.752     7.751     2.262     19.97
     2022-01-12/04:44:30     7.749     7.748     2.283     19.97
     2022-01-12/04:44:40     7.747     7.745     2.305     19.97
     2022-01-12/04:44:50     7.744     7.743     2.326     19.97
     2022-01-12/04:45:00     7.742     7.740     2.347     19.97
     2022-01-12/04:45:10     7.739     7.737     2.369     19.97
     2022-01-12/04:45:20     7.737     7.735     2.390     19.97
     2022-01-12/04:45:30     7.734     7.732     2.412     19.97
     2022-01-12/04:45:40     7.731     7.729     2.433     19.97
     2022-01-12/04:45:50     7.729     7.727     2.455     19.97
     2022-01-12/04:46:00     7.726     7.724     2.476     19.97
     2022-01-12/04:46:10     7.724     7.721     2.498     19.97
     2022-01-12/04:46:20     7.721     7.719     2.519     19.97
     2022-01-12/04:46:30     7.719     7.716     2.541     19.98
     2022-01-12/04:46:40     7.716     7.713     2.562     19.98
     2022-01-12/04:46:50     7.714     7.711     2.584     19.98
     2022-01-12/04:47:00     7.711     7.708     2.606     19.98
     2022-01-12/04:47:10     7.709     7.705     2.627     19.98
     2022-01-12/04:47:20     7.706     7.703     2.649     19.98
     2022-01-12/04:47:30     7.704     7.700     2.671     19.98
     2022-01-12/04:47:40     7.701     7.697     2.693     19.98
     2022-01-12/04:47:50     7.699     7.695     2.714     19.98
     2022-01-12/04:48:00     7.696     7.692     2.736     19.98
     2022-01-12/04:48:10     7.694     7.689     2.758     19.98
     2022-01-12/04:48:20     7.691     7.687     2.780     19.98
     2022-01-12/04:48:30     7.689     7.684     2.802     19.98
     2022-01-12/04:48:40     7.686     7.681     2.824     19.98
     2022-01-12/04:48:50     7.684     7.679     2.846     19.98
     2022-01-12/04:49:00     7.681     7.676     2.868     19.98
