Time                    Mshell    R         MagLat    MLT       
     2022-01-12/00:45:00     11.27     11.22     2.818     20.01
     2022-01-12/00:45:10     11.27     11.22     2.803     20.01
     2022-01-12/00:45:20     11.26     11.22     2.789     20.01
     2022-01-12/00:45:30     11.26     11.22     2.775     20.01
     2022-01-12/00:45:40     11.26     11.21     2.760     20.01
     2022-01-12/00:45:50     11.26     11.21     2.746     20.01
     2022-01-12/00:46:00     11.25     11.21     2.732     20.01
     2022-01-12/00:46:10     11.25     11.21     2.718     20.01
     2022-01-12/00:46:20     11.25     11.20     2.703     20.01
     2022-01-12/00:46:30     11.25     11.20     2.689     20.01
     2022-01-12/00:46:40     11.24     11.20     2.675     20.01
     2022-01-12/00:46:50     11.24     11.20     2.660     20.01
     2022-01-12/00:47:00     11.24     11.20     2.646     20.01
     2022-01-12/00:47:10     11.23     11.19     2.632     20.01
     2022-01-12/00:47:20     11.23     11.19     2.617     20.01
     2022-01-12/00:47:30     11.23     11.19     2.603     20.01
     2022-01-12/00:47:40     11.23     11.19     2.589     20.01
     2022-01-12/00:47:50     11.22     11.18     2.575     20.01
     2022-01-12/00:48:00     11.22     11.18     2.560     20.01
     2022-01-12/00:48:10     11.22     11.18     2.546     20.01
     2022-01-12/00:48:20     11.22     11.18     2.532     20.01
     2022-01-12/00:48:30     11.21     11.18     2.517     20.01
     2022-01-12/00:48:40     11.21     11.17     2.503     20.01
     2022-01-12/00:48:50     11.21     11.17     2.489     20.01
     2022-01-12/00:49:00     11.21     11.17     2.474     20.01
     2022-01-12/00:49:10     11.20     11.17     2.460     20.01
     2022-01-12/00:49:20     11.20     11.16     2.446     20.01
     2022-01-12/00:49:30     11.20     11.16     2.431     20.01
     2022-01-12/00:49:40     11.20     11.16     2.417     20.01
     2022-01-12/00:49:50     11.19     11.16     2.403     20.01
     2022-01-12/00:50:00     11.19     11.16     2.388     20.01
     2022-01-12/00:50:10     11.19     11.15     2.374     20.01
     2022-01-12/00:50:20     11.18     11.15     2.360     20.01
     2022-01-12/00:50:30     11.18     11.15     2.345     20.01
     2022-01-12/00:50:40     11.18     11.15     2.331     20.01
     2022-01-12/00:50:50     11.18     11.14     2.317     20.01
     2022-01-12/00:51:00     11.17     11.14     2.302     20.01
     2022-01-12/00:51:10     11.17     11.14     2.288     20.01
