time                             Energy            Daa
2022-01-12/01:30:15          5.232 0.0002181
2022-01-12/01:30:15          6.521 0.0001413
2022-01-12/01:30:15          8.126 8.866e-05
2022-01-12/01:30:15          10.11 5.399e-05
2022-01-12/01:30:15          12.59 5.836e-05
2022-01-12/01:30:15          15.68 4.244e-05
2022-01-12/01:30:15          19.53 3.025e-05
2022-01-12/01:30:15          24.32 2.031e-05
2022-01-12/01:30:15          39.23 8.362e-06
2022-01-12/01:30:15          46.73 6.261e-06
2022-01-12/01:30:15          56.30 4.413e-06
2022-01-12/01:30:15          67.84 2.941e-06
2022-01-12/01:30:15          81.77 1.921e-06
2022-01-12/01:30:15          98.36 1.803e-06
2022-01-12/01:30:15          118.6 1.384e-06
2022-01-12/01:30:15          142.9 9.974e-07
2022-01-12/01:30:15          171.8 6.847e-07
2022-01-12/01:30:15          206.7 4.482e-07
2022-01-12/01:30:15          247.6 3.052e-07
2022-01-12/01:30:15          295.9 3.079e-07
2022-01-12/01:30:15          353.2 2.759e-07
2022-01-12/01:30:15          421.5 2.238e-07
2022-01-12/01:30:15          504.2 1.889e-07
2022-01-12/01:30:15          605.4 1.585e-07
2022-01-12/01:30:15          731.8 1.362e-07
2022-01-12/01:30:15          972.3 1.091e-07
2022-01-12/01:30:45        0.03075     0.000
2022-01-12/01:30:45        0.03242     0.000
2022-01-12/01:30:45        0.04127     0.000
2022-01-12/01:30:45        0.05200     0.000
2022-01-12/01:30:45        0.06481     0.000
2022-01-12/01:30:45        0.08088     0.000
2022-01-12/01:30:45         0.1005     0.000
2022-01-12/01:30:45         0.1256     0.000
2022-01-12/01:30:45         0.1565     0.000
2022-01-12/01:30:45         0.1950 2.638e-08
2022-01-12/01:30:45         0.2432 3.360e-07
2022-01-12/01:30:45         0.3030 1.524e-06
2022-01-12/01:30:45         0.3776 3.088e-06
2022-01-12/01:30:45         0.4700 5.557e-06
2022-01-12/01:30:45         0.5855 1.465e-05
2022-01-12/01:30:45         0.7291 2.122e-05
2022-01-12/01:30:45         0.9078 2.336e-05
2022-01-12/01:30:45          1.129 2.293e-05
2022-01-12/01:30:45          1.406 2.065e-05
2022-01-12/01:30:45          1.751 1.766e-05
2022-01-12/01:30:45          2.180 0.0003189
2022-01-12/01:30:45          2.715 0.0007974
2022-01-12/01:30:45          3.375 0.0007392
2022-01-12/01:30:45          4.202 0.0005894
2022-01-12/01:30:45          5.232 0.0004194
2022-01-12/01:30:45          6.521 0.0002726
2022-01-12/01:30:45          8.126 0.0001693
2022-01-12/01:30:45          10.11 0.0001024
2022-01-12/01:30:45          12.59 0.0001043
2022-01-12/01:30:45          15.68 7.493e-05
2022-01-12/01:30:45          19.53 5.358e-05
