Time                             Mshell         energy           flux
2022-01-12/00:48:45          12.07     247.6     673.3
2022-01-12/00:48:45          12.07     295.9     440.7
2022-01-12/00:48:45          12.07     353.2     291.5
2022-01-12/00:48:45          12.07     421.5     193.2
2022-01-12/00:48:45          12.07     504.2     150.7
2022-01-12/00:48:45          12.07     605.4     110.6
2022-01-12/00:48:45          12.07     731.8     68.72
2022-01-12/00:48:45          12.07     972.3     0.000
2022-01-12/00:49:15          12.06   0.03075     0.000
2022-01-12/00:49:15          12.06   0.03242     0.000
2022-01-12/00:49:15          12.06   0.04127     0.000
2022-01-12/00:49:15          12.06   0.05200     0.000
2022-01-12/00:49:15          12.06   0.06481     0.000
2022-01-12/00:49:15          12.06   0.08088     0.000
2022-01-12/00:49:15          12.06    0.1005     0.000
2022-01-12/00:49:15          12.06    0.1256     0.000
2022-01-12/00:49:15          12.06    0.1565     0.000
2022-01-12/00:49:15          12.06    0.1950     0.000
2022-01-12/00:49:15          12.06    0.2432     0.000
2022-01-12/00:49:15          12.06    0.3030     0.000
2022-01-12/00:49:15          12.06    0.3776     0.000
2022-01-12/00:49:15          12.06    0.4700     0.000
2022-01-12/00:49:15          12.06    0.5855     0.000
2022-01-12/00:49:15          12.06    0.7291     0.000
2022-01-12/00:49:15          12.06    0.9078     0.000
2022-01-12/00:49:15          12.06     1.129     0.000
2022-01-12/00:49:15          12.06     1.406     0.000
2022-01-12/00:49:15          12.06     1.751     0.000
2022-01-12/00:49:15          12.06     2.180     0.000
2022-01-12/00:49:15          12.06     2.715     0.000
2022-01-12/00:49:15          12.06     3.375     0.000
2022-01-12/00:49:15          12.06     4.202     0.000
2022-01-12/00:49:15          12.06     5.232     0.000
2022-01-12/00:49:15          12.06     6.521     0.000
2022-01-12/00:49:15          12.06     8.126     0.000
2022-01-12/00:49:15          12.06     10.11     0.000
2022-01-12/00:49:15          12.06     12.59     0.000
2022-01-12/00:49:15          12.06     15.68     0.000
2022-01-12/00:49:15          12.06     19.53     0.000
2022-01-12/00:49:15          12.06     24.32     0.000
2022-01-12/00:49:15          12.06     39.23     0.000
2022-01-12/00:49:15          12.06     46.73     0.000
2022-01-12/00:49:15          12.06     56.30     0.000
2022-01-12/00:49:15          12.06     67.84     0.000
2022-01-12/00:49:15          12.06     81.77     0.000
2022-01-12/00:49:15          12.06     98.36     0.000
2022-01-12/00:49:15          12.06     118.6     0.000
2022-01-12/00:49:15          12.06     142.9     0.000
2022-01-12/00:49:15          12.06     171.8     0.000
2022-01-12/00:49:15          12.06     206.7     0.000
2022-01-12/00:49:15          12.06     247.6     0.000
2022-01-12/00:49:15          12.06     295.9     0.000
2022-01-12/00:49:15          12.06     353.2     0.000
2022-01-12/00:49:15          12.06     421.5     0.000
2022-01-12/00:49:15          12.06     504.2     0.000
2022-01-12/00:49:15          12.06     605.4     0.000
